Time (msec),A/F Correction #1 (%),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Fuel Injector #1 Pulse Width (ms),Mass Airflow (g/s),Throttle Opening Angle (%),Knock Correction Advance (degrees),CL/OL Fueling* (status),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Closed Loop Fueling Target (2-byte)* (lambda),Closed Loop Fueling Target (4-byte)* (estimated AFR),Engine Load (4-Byte)* (g/rev),Feedback Knock Correction (1-byte)** (degrees),Feedback Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (4-byte)* (ms),IAM (1-byte)** (multiplier),IAM (4-byte)* (multiplier),Primary Open Loop Map Enrichment (4-byte)* (estimated AFR)
0,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
105,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
208,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
313,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
416,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.70,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
520,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
625,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
728,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
832,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.70,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
937,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1040,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1144,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1248,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1352,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1456,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1561,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1664,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1768,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1872,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,18.10,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
1976,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2080,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2185,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2288,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2392,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.70,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2497,0.00,11.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.60,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2601,0.00,11.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2704,0.00,7.60,102,0,0.00,0.00,2.41,7.84,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2808,0.00,8.96,102,0,0.00,0.00,2.41,7.84,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
2913,0.00,9.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.80,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
3016,0.00,9.60,102,0,0.00,0.00,2.41,7.45,0.00,7,17.90,1.00,14.70,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
3120,0.00,9.52,102,0,0.00,1.02,1.84,7.45,0.00,7,18.00,1.00,14.73,0.39,0.00,0.00,0.0000,0.5000,0.5000,14.70
3224,0.00,10.32,102,558,0.16,1.54,1.52,7.45,0.00,7,19.60,1.00,14.73,0.39,0.00,0.00,7.4968,0.5000,0.5000,14.70
3328,0.00,10.96,102,1037,0.17,7.42,3.16,7.45,0.00,7,20.00,1.00,14.73,0.31,0.00,0.00,5.4725,0.5000,0.5000,14.70
3433,0.00,11.28,102,1179,0.22,5.63,4.55,7.45,0.00,7,19.80,1.00,14.66,0.27,0.00,0.00,3.5855,0.5000,0.5000,14.70
3537,0.00,12.48,102,1305,0.25,3.58,5.31,7.84,0.00,7,13.50,1.00,14.64,0.25,0.00,0.00,2.1212,0.5000,0.5000,14.70
3641,0.00,12.56,102,1395,0.25,2.82,5.82,7.45,0.00,7,12.40,1.00,14.63,0.25,0.00,0.00,1.9875,0.5000,0.5000,14.70
3744,0.00,12.48,102,1406,0.26,2.82,6.14,7.45,0.00,7,12.50,1.00,14.63,0.25,0.00,0.00,1.9903,0.5000,0.5000,14.70
3849,0.00,12.56,102,1360,0.28,2.82,6.35,7.45,0.00,7,12.50,0.99,14.63,0.26,0.00,0.00,2.0415,0.5000,0.5000,14.70
3953,0.00,12.80,102,1352,0.29,2.82,6.49,7.84,0.00,7,13.30,1.00,14.63,0.27,0.00,0.00,2.1042,0.5000,0.5000,14.70
4057,0.00,12.72,102,1310,0.30,3.07,6.71,7.45,0.00,7,13.60,1.00,14.63,0.28,0.00,0.00,2.1877,0.5000,0.5000,14.70
4161,0.00,12.72,102,1276,0.31,3.07,6.82,7.84,0.00,7,13.70,1.00,14.63,0.29,0.00,0.00,2.2440,0.5000,0.5000,14.70
4265,0.00,12.80,102,1248,0.33,3.07,6.93,7.84,0.00,7,13.70,1.00,14.64,0.30,0.00,0.00,2.2950,0.5000,0.5000,14.70
