Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),IAM (4-byte)* (multiplier),Mass Airflow (g/s),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Atmospheric Pressure (psi),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Feedback Knock Correction (4-byte)* (degrees),Gear (Calculated)* (position),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Final Fueling Base (4-byte)* (lambda),Ignition Total Timing (degrees)
0,0.78,3.12,1,13.60,196,648,0.5000,3.46,14.80,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,17.00
105,0.78,3.12,1,13.52,196,649,0.5000,3.46,14.80,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,17.00
209,0.78,3.12,1,13.36,196,655,0.5000,3.46,14.70,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,17.00
314,0.78,3.12,1,13.52,196,654,0.5000,3.46,14.70,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,17.00
418,0.78,3.12,1,13.60,196,656,0.5000,3.48,14.80,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
522,0.78,3.12,1,13.52,196,655,0.5000,3.46,14.70,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
626,0.78,3.12,1,13.52,196,654,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
730,0.78,3.12,1,13.60,196,653,0.5000,3.46,14.70,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
834,0.78,3.12,1,13.44,196,650,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,17.00
938,0.78,3.12,1,13.44,196,656,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,17.00
1042,0.78,3.12,1,13.60,196,657,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,17.00
1146,0.78,3.12,1,13.60,196,661,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,7.98,4.31,1.00,17.00
1250,0.78,3.12,1,13.44,196,650,0.5000,3.46,14.90,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
1354,0.78,3.12,1,13.44,196,648,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
1458,0.78,3.12,1,13.52,196,644,0.5000,3.46,14.80,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,17.00
1563,0.78,3.12,1,13.60,196,647,0.5000,3.46,14.80,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,17.00
1666,0.78,3.12,1,13.52,196,662,0.5000,3.46,14.70,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
1771,0.78,3.12,1,13.44,196,662,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
1874,0.78,3.12,1,13.68,196,668,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
1979,0.78,3.12,1,13.44,196,666,0.5000,3.46,14.70,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
2082,0.78,3.12,1,13.36,196,668,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
2186,0.78,3.12,1,13.68,196,666,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
2290,0.78,3.12,1,13.52,198,664,0.5000,3.46,14.90,14.36,8,14.69,0.31,0.32,0.00,1,129,0,0.00,4,7.98,3.92,1.00,17.00
2394,0.78,3.12,1,13.44,198,665,0.5000,3.46,14.70,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
2498,0.78,3.12,1,13.60,198,670,0.5000,3.48,14.80,14.36,8,14.69,0.31,0.31,0.00,1,129,0,0.00,4,8.27,3.92,1.00,17.00
2602,0.78,3.12,1,13.60,198,683,0.5000,3.46,14.80,14.36,8,14.69,0.31,0.30,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.00
2706,0.78,3.12,1,13.52,198,686,0.5000,3.44,14.70,14.36,8,14.69,0.31,0.30,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.00
2810,0.78,3.12,1,13.68,198,692,0.5000,3.46,14.70,14.36,8,14.69,0.30,0.30,0.00,1,129,0,0.00,4,7.98,3.92,1.00,15.50
2914,1.56,3.12,1,13.52,198,694,0.5000,3.46,14.80,14.36,8,14.69,0.30,0.30,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.00
3019,1.56,3.12,1,13.52,198,681,0.5000,3.46,14.90,14.36,8,14.69,0.30,0.30,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
3122,2.34,3.12,1,13.68,198,688,0.5000,3.48,15.00,14.36,8,14.69,0.30,0.30,0.00,1,129,0,0.00,4,7.84,3.92,1.00,16.50
3226,2.34,3.12,1,13.52,198,683,0.5000,3.46,14.90,14.36,8,14.69,0.30,0.30,0.00,1,129,0,0.00,4,7.84,3.92,1.00,16.50
3330,2.34,3.12,1,13.60,198,678,0.5000,3.48,15.30,14.36,8,14.69,0.30,0.31,0.00,1,129,0,0.00,4,7.84,3.92,1.00,16.00
3435,3.12,3.12,1,13.04,198,668,0.5000,3.46,15.30,14.36,8,14.69,0.30,0.31,0.00,1,129,0,0.00,4,7.98,3.92,1.00,16.50
3538,3.12,3.12,1,13.12,198,638,0.5000,3.51,15.30,14.36,8,14.69,0.31,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,17.50
