Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Atmospheric Pressure (psi),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (4-byte)* (lambda),Gear (Calculated)* (position),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,747,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.82,3.64,3.53,14.70
104,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,744,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.82,3.61,3.53,14.80
208,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,749,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.82,3.57,3.53,14.70
312,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.28,764,0.00,1.00,0,0.5000,16.50,117,0,0.00,0,6.82,3.59,3.53,14.70
416,1.56,-0.78,1,14.36,13.52,8,14.69,192,0.28,0.28,764,0.00,1.00,0,0.5000,16.50,117,0,0.00,0,6.67,3.59,3.53,14.70
520,1.56,-0.78,1,14.36,13.52,8,14.69,192,0.28,0.28,763,0.00,1.00,0,0.5000,16.50,117,0,0.00,0,6.67,3.59,3.53,14.70
624,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.28,768,0.00,1.00,0,0.5000,16.50,117,0,0.00,0,6.67,3.61,3.53,14.70
728,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,752,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.59,3.53,14.80
832,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,748,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.80
936,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.28,758,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.59,3.53,14.80
1040,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,751,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
1145,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,744,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
1248,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,755,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
1352,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,752,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.60
1457,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,748,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
1561,1.56,-0.78,1,14.36,13.52,8,14.69,192,0.28,0.29,746,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.59,3.53,14.70
1665,1.56,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,754,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
1769,0.78,-0.78,1,14.36,13.52,8,14.69,192,0.28,0.28,748,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
1873,0.78,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,746,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.59,3.53,14.70
1976,0.78,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,750,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.59,3.53,14.70
2081,0.78,-0.78,1,14.36,13.52,8,14.69,192,0.28,0.29,757,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
2185,0.78,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,752,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.60
2289,0.78,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,756,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.60
2392,0.78,-0.78,1,14.36,13.44,8,14.69,192,0.28,0.29,757,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.60
2496,0.78,-0.78,1,14.36,13.36,8,14.69,192,0.28,0.29,752,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
2600,0.78,-0.78,1,14.36,13.52,8,14.69,192,0.28,0.29,758,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
2705,0.78,-0.78,1,14.36,13.52,8,14.69,192,0.28,0.29,758,0.00,1.00,0,0.5000,17.00,117,0,0.00,0,6.67,3.61,3.53,14.70
