Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Atmospheric Pressure (psi),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (4-byte)* (lambda),Gear (Calculated)* (position),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,7.03,3.91,1,14.36,13.44,8,14.69,190,0.28,0.31,819,0.00,0.91,0,0.5000,16.00,136,0,0.00,13,7.25,4.25,5.49,15.00
104,6.25,3.91,1,14.36,13.44,8,14.69,190,0.29,0.32,816,0.00,1.00,0,0.5000,16.50,136,0,0.00,13,7.55,4.42,5.49,14.80
207,7.03,3.91,1,14.36,13.44,8,14.68,190,0.30,0.31,854,0.00,1.00,0,0.5000,13.50,136,0,0.00,13,7.69,4.47,5.49,14.80
311,7.03,3.91,1,14.36,13.60,8,14.69,190,0.31,0.32,815,0.00,1.00,0,0.5000,16.50,136,0,0.00,13,7.84,4.50,5.10,14.70
415,7.81,3.91,1,14.36,13.44,8,14.69,190,0.31,0.33,809,0.00,1.00,0,0.5000,17.00,136,0,0.00,13,7.98,4.50,5.10,14.80
519,8.59,3.91,1,14.36,13.36,8,14.69,190,0.32,0.34,805,0.00,0.99,0,0.5000,17.00,136,0,0.00,13,8.13,4.50,5.10,15.00
623,9.38,3.91,1,14.36,13.36,8,14.69,190,0.33,0.34,796,0.00,0.99,0,0.5000,17.00,136,0,0.00,13,8.27,4.50,5.10,15.20
727,9.38,3.91,1,14.36,13.60,8,14.69,190,0.33,0.33,815,0.00,0.99,0,0.5000,16.50,136,0,0.00,13,8.27,4.50,5.10,15.40
831,10.16,3.91,1,14.36,13.52,8,14.68,190,0.33,0.33,823,0.00,1.00,0,0.5000,16.50,136,0,0.00,13,8.27,4.53,5.10,15.50
935,10.16,3.91,1,14.36,13.44,8,14.68,190,0.32,0.33,852,0.00,1.00,0,0.5000,14.50,136,0,0.00,13,8.27,4.56,5.10,15.50
