Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Atmospheric Pressure (psi),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (4-byte)* (lambda),Gear (Calculated)* (position),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.78,2.34,1,14.36,13.84,8,14.69,187,0.33,0.33,827,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.60,4.71,14.70
103,0.78,2.34,1,14.36,13.84,8,14.68,187,0.33,0.34,839,0.00,1.00,0,0.5000,16.50,104,0,0.00,2,7.98,4.72,4.71,14.70
207,0.78,2.34,1,14.36,13.92,8,14.69,187,0.33,0.34,821,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.66,4.71,14.80
312,0.78,2.34,1,14.36,13.84,8,14.68,187,0.33,0.34,838,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.58,4.71,14.80
415,0.78,2.34,1,14.36,13.92,8,14.68,187,0.33,0.33,838,0.00,1.00,0,0.5000,16.50,104,0,0.00,2,7.98,4.58,4.71,14.80
520,0.78,2.34,1,14.36,13.92,8,14.68,187,0.33,0.32,850,0.00,1.00,0,0.5000,16.50,104,0,0.00,2,7.98,4.55,4.71,14.80
624,0.78,2.34,1,14.36,13.92,8,14.68,187,0.33,0.32,846,0.00,1.00,0,0.5000,16.00,104,0,0.00,2,7.98,4.63,4.71,14.70
727,0.78,2.34,1,14.36,13.92,8,14.68,187,0.33,0.34,842,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.69,4.71,14.70
832,0.78,2.34,1,14.36,13.84,8,14.68,187,0.33,0.33,839,0.00,1.00,0,0.5000,16.50,104,0,0.00,2,7.98,4.66,4.71,14.60
936,0.78,2.34,1,14.36,13.84,8,14.69,187,0.33,0.34,834,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.75,4.71,14.80
1040,0.78,2.34,1,14.36,13.84,8,14.68,187,0.33,0.33,842,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.69,4.71,14.70
1144,0.78,2.34,1,14.36,13.84,8,14.69,187,0.33,0.33,833,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.60,4.71,14.70
1248,0.78,2.34,1,14.36,13.92,8,14.68,187,0.33,0.34,846,0.00,1.00,0,0.5000,16.50,104,0,0.00,2,7.98,4.66,4.71,14.80
1352,0.78,2.34,1,14.36,13.84,8,14.69,187,0.33,0.34,833,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.72,4.71,14.70
1456,0.78,2.34,1,14.36,13.76,8,14.68,187,0.33,0.32,838,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.49,4.71,14.70
1560,0.78,2.34,1,14.36,14.00,8,14.69,187,0.33,0.33,826,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.52,4.71,14.80
1664,0.78,2.34,1,14.36,13.92,8,14.69,187,0.33,0.34,829,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.66,4.71,14.80
1768,0.78,2.34,1,14.36,13.92,8,14.69,187,0.33,0.33,813,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.55,4.71,14.60
1872,0.78,2.34,1,14.36,13.84,8,14.69,187,0.33,0.33,814,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,7.98,4.52,4.71,14.60
1976,0.78,2.34,1,14.36,13.60,8,14.69,187,0.33,0.33,819,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,8.13,4.55,4.71,14.60
2080,0.78,2.34,1,14.36,13.68,8,14.69,187,0.33,0.34,801,0.00,1.00,0,0.5000,18.00,104,0,0.00,2,8.13,4.55,4.71,14.60
2184,0.78,2.34,1,14.36,14.00,8,14.69,187,0.34,0.36,808,0.00,1.00,0,0.5000,17.50,104,0,0.00,2,8.13,4.84,4.71,14.50
2288,0.78,2.34,1,14.36,13.92,8,14.69,187,0.34,0.35,806,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,8.13,4.78,4.71,14.60
2392,0.78,2.34,1,14.36,13.84,8,14.69,187,0.34,0.35,809,0.00,1.00,0,0.5000,17.00,104,0,0.00,2,8.13,4.78,4.71,14.70
2496,1.56,2.34,1,14.36,13.92,8,14.69,187,0.34,0.34,834,0.00,1.00,0,0.5000,10.00,104,0,0.00,2,8.13,4.69,3.53,14.80
2600,1.56,2.34,1,14.36,13.92,8,14.68,187,0.31,0.29,864,0.00,1.10,0,0.5000,10.00,104,0,0.00,2,7.69,4.14,3.53,14.80
2704,1.56,2.34,1,14.36,13.92,8,14.67,187,0.29,0.25,885,0.00,1.10,0,0.5000,10.00,104,0,0.00,2,7.25,3.67,3.92,15.00
2808,0.78,2.34,1,14.36,13.92,8,14.67,187,0.28,0.26,884,0.00,1.00,0,0.5000,10.00,104,0,0.00,2,6.96,3.84,3.92,14.80
2912,0.78,2.34,1,14.36,13.76,8,14.68,187,0.27,0.26,868,0.00,1.00,0,0.5000,16.00,104,0,0.00,2,6.82,3.69,3.53,14.80
