Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Atmospheric Pressure (psi),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (4-byte)* (lambda),Gear (Calculated)* (position),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,11.72,0.00,1,14.51,13.92,8,14.71,160,0.26,0.27,864,0.00,1.00,0,0.5000,18.00,93,0,0.00,1,7.11,3.87,4.71,14.40
105,11.72,0.00,1,14.51,13.92,8,14.71,160,0.26,0.28,884,0.00,1.00,0,0.5000,18.00,93,0,0.00,1,7.25,4.03,4.71,14.40
209,11.72,0.00,1,14.51,14.00,8,14.71,160,0.27,0.27,869,0.00,1.00,0,0.5000,18.00,93,0,0.00,1,7.25,3.79,4.71,14.50
313,11.72,0.00,1,14.51,14.00,8,14.71,160,0.27,0.26,867,0.00,1.00,0,0.5000,19.00,93,0,0.00,1,7.25,3.72,4.71,14.50
419,12.50,0.00,1,14.51,13.92,8,14.72,160,0.26,0.26,861,0.00,1.00,0,0.5000,18.00,93,0,0.00,1,7.25,3.79,4.71,14.50
520,12.50,0.00,1,14.51,13.92,8,14.72,160,0.26,0.28,846,0.00,1.00,0,0.5000,19.50,93,0,0.00,1,7.40,3.87,4.71,14.80
624,12.50,0.00,1,14.51,13.92,8,14.72,160,0.27,0.28,833,0.00,1.00,0,0.5000,19.00,93,0,0.00,1,7.40,3.84,4.71,14.70
728,12.50,0.00,1,14.51,13.92,8,14.72,160,0.27,0.28,847,0.00,1.00,0,0.5000,20.00,93,0,0.00,1,7.40,3.81,4.71,14.90
832,13.28,0.00,1,14.51,13.92,8,14.72,160,0.27,0.27,896,0.00,1.00,0,0.5000,18.50,93,0,0.00,1,7.55,3.79,4.71,14.80
936,13.28,0.00,1,14.51,13.92,8,14.71,160,0.27,0.28,853,0.00,1.00,0,0.5000,17.50,93,0,0.00,1,7.55,3.91,4.71,14.80
1040,13.28,0.00,1,14.51,14.00,8,14.71,160,0.27,0.29,848,0.00,1.00,0,0.5000,17.50,93,0,0.00,1,7.55,4.00,4.71,15.10
1144,14.06,0.00,1,14.51,13.92,8,14.72,160,0.27,0.28,850,0.00,1.00,0,0.5000,17.50,93,0,0.00,1,7.55,4.03,4.71,15.20
1249,14.06,0.00,1,14.51,13.92,8,14.71,160,0.28,0.29,851,0.00,1.00,0,0.5000,17.00,93,0,0.00,1,7.69,4.18,4.71,15.20
1352,14.06,0.00,1,14.51,14.00,8,14.72,160,0.28,0.30,836,0.00,1.00,0,0.5000,17.50,93,0,0.00,1,7.69,4.15,4.71,15.20
1456,14.84,0.00,1,14.51,13.92,8,14.71,160,0.28,0.29,854,0.00,1.00,0,0.5000,17.00,93,0,0.00,1,7.69,4.12,4.71,15.30
1560,15.62,0.00,1,14.51,13.84,8,14.71,160,0.29,0.29,855,0.00,1.00,0,0.5000,17.00,93,0,0.00,1,7.69,4.12,4.71,15.50
1664,15.62,0.00,1,14.51,13.92,8,14.70,160,0.28,0.28,882,0.00,1.00,0,0.5000,16.00,93,0,0.00,1,7.69,4.09,4.71,15.50
1769,15.62,0.00,1,14.51,13.92,8,14.70,160,0.28,0.27,883,0.00,1.00,0,0.5000,16.00,93,0,0.00,1,7.55,4.06,4.71,15.50
1872,16.41,0.00,1,14.51,14.00,8,14.70,160,0.28,0.27,899,0.00,1.00,0,0.5000,14.50,93,0,0.00,1,7.55,4.06,4.71,15.40
1976,16.41,0.00,1,14.51,13.92,8,14.70,160,0.27,0.27,910,0.00,1.00,0,0.5000,16.50,93,0,0.00,1,7.55,4.18,4.71,15.40
2081,16.41,0.00,1,14.51,13.92,8,14.70,160,0.27,0.28,900,0.00,1.00,0,0.5000,15.50,93,0,0.00,1,7.55,4.30,5.10,15.20
2184,16.41,0.00,1,14.51,13.92,8,14.70,160,0.27,0.29,910,0.00,1.00,0,0.5000,16.00,93,0,0.00,1,7.40,4.39,5.10,15.30
2289,16.41,0.00,1,14.51,14.00,8,14.70,160,0.28,0.28,916,0.00,1.00,0,0.5000,15.00,93,0,0.00,1,7.40,4.33,5.10,15.10
2392,16.41,0.00,1,14.51,14.00,8,14.70,160,0.28,0.28,916,0.00,1.00,0,0.5000,16.00,93,0,0.00,1,7.40,4.18,5.10,15.00
2496,16.41,0.00,1,14.51,13.92,8,14.70,160,0.28,0.27,916,0.00,1.00,0,0.5000,16.00,93,0,0.00,1,7.40,4.09,5.10,15.00
2600,16.41,0.00,1,14.51,13.92,8,14.69,160,0.27,0.27,935,0.00,1.00,0,0.5000,14.00,93,0,0.00,1,7.25,4.18,4.71,14.80
2704,15.62,0.00,1,14.51,13.92,8,14.70,160,0.27,0.27,933,0.00,1.00,0,0.5000,15.50,93,0,0.00,1,7.25,4.12,4.71,14.80
2808,15.62,0.00,1,14.51,14.00,8,14.70,160,0.27,0.27,925,0.00,1.00,0,0.5000,16.00,93,0,0.00,1,7.25,4.18,4.71,15.10
2913,15.62,0.00,1,14.51,13.92,8,14.70,160,0.27,0.26,941,0.00,1.00,0,0.5000,16.00,93,0,0.00,1,7.25,3.97,4.71,14.30
3016,14.84,0.00,1,14.51,13.92,8,14.70,160,0.26,0.27,923,0.00,1.00,0,0.5000,16.00,93,0,0.00,1,7.25,4.12,4.71,14.50
3120,14.84,0.00,1,14.51,13.92,8,14.70,160,0.26,0.27,920,0.00,1.00,0,0.5000,16.50,93,0,0.00,1,7.25,4.15,4.71,14.40
3225,14.84,0.00,1,14.51,13.92,8,14.70,160,0.26,0.28,914,0.00,1.00,0,0.5000,17.00,93,0,0.00,1,7.25,4.25,4.71,14.40
3329,14.84,0.00,1,14.51,13.92,8,14.71,160,0.27,0.27,890,0.00,1.00,0,0.5000,17.00,93,0,0.00,1,7.25,4.09,4.71,14.20
3432,14.84,0.00,1,14.51,14.00,8,14.70,160,0.27,0.27,898,0.00,1.00,0,0.5000,17.00,93,0,0.00,1,7.25,3.97,4.71,14.40
3536,14.84,0.00,1,14.51,13.92,8,14.70,160,0.27,0.28,901,0.00,1.00,0,0.5000,17.00,93,0,0.00,1,7.25,4.18,4.71,14.40
3640,14.84,0.00,1,14.51,13.84,8,14.70,160,0.27,0.27,904,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,4.00,4.71,14.50
3744,14.84,0.00,1,14.51,13.92,8,14.70,160,0.27,0.27,894,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,4.03,4.71,14.40
3848,14.06,0.00,1,14.51,13.92,8,14.70,160,0.27,0.27,899,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.25,4.03,4.71,14.50
3953,14.06,0.00,1,14.51,14.00,8,14.70,160,0.27,0.26,922,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.25,3.97,4.71,14.50
4056,14.06,0.00,1,14.51,14.00,8,14.70,160,0.26,0.25,920,0.00,1.00,0,0.5000,16.00,95,0,0.00,1,7.11,3.94,4.71,14.50
4161,14.06,0.00,1,14.51,13.92,8,14.69,160,0.26,0.26,932,0.00,1.00,0,0.5000,16.00,95,0,0.00,1,7.11,3.97,4.71,14.50
4265,14.06,0.00,1,14.51,13.92,8,14.70,160,0.26,0.25,924,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.11,3.87,4.71,14.50
4369,14.06,0.00,1,14.51,13.92,8,14.69,160,0.25,0.25,924,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.11,3.97,4.71,14.50
4473,14.06,0.00,1,14.51,14.00,8,14.70,160,0.25,0.26,923,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,6.96,4.00,4.71,14.50
4577,13.28,0.00,1,14.51,14.00,8,14.70,160,0.25,0.26,912,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,6.96,3.94,4.71,14.40
4681,13.28,0.00,1,14.51,13.92,8,14.70,160,0.25,0.26,913,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.94,4.71,14.50
4785,13.28,0.00,1,14.51,14.00,8,14.71,160,0.26,0.27,880,0.00,1.00,0,0.5000,20.00,95,0,0.00,1,7.11,4.00,4.71,14.50
4888,13.28,0.00,1,14.51,13.92,8,14.71,160,0.26,0.29,863,0.00,1.00,0,0.5000,18.00,95,0,0.00,1,7.11,4.22,4.71,14.50
4992,13.28,0.00,1,14.51,13.92,8,14.71,160,0.27,0.29,862,0.00,1.00,0,0.5000,21.00,95,0,0.00,1,7.25,4.09,4.71,14.50
5097,13.28,0.00,1,14.51,14.00,8,14.71,160,0.27,0.29,849,0.00,1.00,0,0.5000,18.00,95,0,0.00,1,7.25,3.97,4.71,14.60
5201,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.26,859,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,3.76,4.71,14.50
5305,13.28,0.00,1,14.51,13.92,8,14.71,160,0.27,0.26,879,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,3.76,4.71,14.60
5409,13.28,0.00,1,14.51,13.92,8,14.71,160,0.26,0.27,867,0.00,1.00,0,0.5000,18.00,95,0,0.00,1,7.25,3.91,4.71,14.60
5513,13.28,0.00,1,14.51,13.84,8,14.71,162,0.26,0.27,878,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.25,3.84,4.71,14.70
5617,13.28,0.00,1,14.51,13.92,8,14.71,162,0.26,0.27,854,0.00,1.00,0,0.5000,18.50,95,0,0.00,1,7.25,3.91,4.71,14.70
5721,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.28,851,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,4.00,4.71,14.70
5824,13.28,0.00,1,14.51,14.00,8,14.72,162,0.27,0.28,853,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,3.94,4.71,14.80
5929,13.28,0.00,1,14.51,14.00,8,14.71,162,0.27,0.29,842,0.00,1.00,0,0.5000,18.50,95,0,0.00,1,7.40,4.12,4.71,14.50
6033,14.06,0.00,1,14.51,14.00,8,14.71,162,0.27,0.29,846,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,4.09,4.71,14.80
6137,14.06,0.00,1,14.51,14.00,8,14.71,162,0.28,0.29,858,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,4.06,4.71,14.80
6240,14.06,0.00,1,14.51,14.00,8,14.71,162,0.28,0.28,852,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,4.03,4.71,14.80
6345,14.06,0.00,1,14.51,14.00,8,14.71,162,0.28,0.28,870,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,4.09,4.71,15.00
6449,14.06,0.00,1,14.51,14.00,8,14.71,162,0.28,0.28,864,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,4.12,4.71,14.90
6552,14.06,0.00,1,14.51,13.92,8,14.71,162,0.28,0.28,876,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,4.06,4.71,14.90
6657,14.06,0.00,1,14.51,13.92,8,14.71,162,0.28,0.27,878,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.40,4.06,4.71,15.00
6761,14.06,0.00,1,14.51,13.92,8,14.70,162,0.27,0.27,895,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.40,4.00,4.71,14.80
6865,14.06,0.00,1,14.51,14.00,8,14.70,162,0.27,0.27,883,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.25,4.00,4.71,14.70
6969,13.28,0.00,1,14.51,14.00,8,14.71,162,0.27,0.27,897,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.25,4.00,4.71,15.10
7073,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.27,875,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,4.00,4.71,14.50
7177,13.28,0.00,1,14.51,13.92,8,14.70,162,0.27,0.27,887,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.25,4.00,4.71,14.50
7280,13.28,0.00,1,14.51,13.84,8,14.71,162,0.27,0.27,870,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,3.94,4.71,14.50
7385,13.28,0.00,1,14.51,13.92,8,14.70,162,0.27,0.28,874,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,4.00,4.71,14.40
7489,13.28,0.00,1,14.51,14.00,8,14.71,162,0.27,0.27,870,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,3.87,4.71,14.50
7593,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.27,878,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,3.91,4.71,14.40
7697,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.28,861,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,4.00,4.71,14.40
7801,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.29,861,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,4.09,4.71,14.50
7905,13.28,0.00,1,14.51,13.84,8,14.71,162,0.27,0.28,849,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,4.00,4.71,14.50
8009,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.29,864,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,4.09,4.71,14.50
8113,13.28,0.00,1,14.51,13.84,8,14.71,162,0.28,0.28,846,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,4.09,4.71,14.60
8217,13.28,0.00,1,14.51,13.84,8,14.71,162,0.28,0.28,858,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,4.00,4.71,14.80
8321,13.28,0.00,1,14.51,13.92,8,14.71,162,0.28,0.27,855,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.94,4.71,14.70
8425,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.27,861,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,3.94,4.71,14.80
8529,13.28,0.00,1,14.51,13.92,8,14.71,162,0.27,0.29,852,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,4.06,4.71,14.80
8633,13.28,0.00,1,14.51,13.92,8,14.71,162,0.28,0.29,862,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,4.00,4.71,14.80
8737,13.28,0.00,1,14.51,14.00,8,14.71,162,0.28,0.28,849,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,4.03,4.71,14.80
8841,14.06,0.00,1,14.51,14.00,8,14.71,162,0.28,0.28,860,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,3.94,4.71,14.80
8945,14.06,0.00,1,14.51,14.00,8,14.71,162,0.28,0.28,838,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,3.84,4.71,15.00
9049,14.06,0.00,1,14.51,14.00,8,14.71,162,0.28,0.28,851,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,4.03,4.71,14.80
9153,14.06,0.00,1,14.51,14.00,8,14.71,162,0.27,0.29,850,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,4.00,4.71,14.80
9257,14.06,0.00,1,14.51,13.92,8,14.71,162,0.28,0.29,854,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,3.97,4.71,14.90
9361,14.84,0.00,1,14.51,13.92,8,14.71,162,0.28,0.28,838,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,4.03,4.71,14.90
9465,14.84,0.00,1,14.51,13.92,8,14.72,162,0.28,0.29,845,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.55,4.03,4.71,15.00
9569,14.84,0.00,1,14.51,13.92,8,14.71,162,0.28,0.28,838,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,3.94,4.71,15.10
9673,14.84,0.00,1,14.51,13.92,8,14.71,162,0.28,0.28,838,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.69,3.91,4.71,15.00
9777,14.84,0.00,1,14.51,13.84,8,14.71,162,0.28,0.29,834,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.69,4.00,4.71,15.10
9881,14.84,0.00,1,14.51,13.84,8,14.71,162,0.28,0.28,836,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.69,4.12,4.71,15.00
9985,14.84,0.00,1,14.51,13.84,8,14.71,162,0.28,0.29,858,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.69,4.18,4.71,15.00
10089,15.62,0.00,1,14.51,13.92,8,14.71,162,0.28,0.29,864,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.69,4.18,4.71,15.10
10193,15.62,0.00,1,14.51,13.92,8,14.70,162,0.28,0.28,887,0.00,1.00,0,0.5000,15.50,95,0,0.00,1,7.69,4.12,4.71,15.10
10297,15.62,0.00,1,14.51,13.92,8,14.70,162,0.28,0.28,891,0.00,1.00,0,0.5000,15.50,95,0,0.00,1,7.55,4.22,4.71,15.10
10401,15.62,0.00,1,14.51,13.92,8,14.70,162,0.28,0.28,898,0.00,1.00,0,0.5000,15.00,95,0,0.00,1,7.55,4.18,4.71,15.10
10506,16.41,0.00,1,14.51,13.92,8,14.70,162,0.28,0.28,910,0.00,1.00,0,0.5000,14.50,95,0,0.00,1,7.55,4.15,5.10,15.00
10609,16.41,0.00,1,14.51,13.92,8,14.70,162,0.28,0.28,904,0.00,1.00,0,0.5000,15.00,95,0,0.00,1,7.55,4.36,4.71,15.10
10713,16.41,0.00,1,14.51,14.00,8,14.70,162,0.28,0.28,918,0.00,1.00,0,0.5000,15.50,95,0,0.00,1,7.40,4.18,4.71,15.00
