Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Atmospheric Pressure (psi),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (4-byte)* (lambda),Gear (Calculated)* (position),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,3.12,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.29,807,0.00,1.00,0,0.5000,16.00,122,0,0.00,14,6.67,3.79,3.53,15.00
104,3.12,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.28,808,0.00,1.00,0,0.5000,15.50,122,0,0.00,14,6.53,3.76,3.53,14.90
208,3.12,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.27,831,0.00,1.00,0,0.5000,14.50,122,0,0.00,14,6.53,3.79,3.53,14.80
312,3.12,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.28,827,0.00,1.00,0,0.5000,15.50,122,0,0.00,14,6.53,3.85,3.53,15.00
416,2.34,-1.56,1,14.51,13.52,8,14.69,190,0.27,0.27,827,0.00,1.00,0,0.5000,16.00,122,0,0.00,14,6.53,3.79,3.53,14.70
519,2.34,-1.56,1,14.51,13.68,8,14.69,190,0.27,0.28,820,0.00,1.00,0,0.5000,16.00,122,0,0.00,14,6.38,3.85,3.14,14.80
624,1.56,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.28,816,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.38,3.85,3.53,14.80
728,0.78,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.27,817,0.00,1.00,0,0.5000,16.50,122,0,0.00,14,6.38,3.66,3.14,14.40
836,0.78,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.27,804,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.38,3.60,3.14,14.40
936,0.00,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.26,800,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.38,3.38,3.14,14.40
1040,0.00,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.26,786,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.38,3.44,3.14,14.20
1144,-0.78,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.26,786,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.53,3.41,3.14,14.20
1247,-0.78,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.27,774,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.53,3.50,3.14,14.00
1352,-1.56,-1.56,1,14.51,13.68,8,14.69,190,0.26,0.28,770,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.53,3.47,3.14,14.00
1456,-1.56,-1.56,1,14.51,13.52,8,14.69,190,0.26,0.27,766,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.53,3.41,3.14,14.00
1560,-1.56,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.27,770,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.53,3.50,3.14,13.90
1664,-1.56,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.28,765,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.53,3.63,3.14,13.90
1768,-1.56,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.29,755,0.00,1.00,0,0.5000,19.50,122,0,0.00,14,6.53,3.60,3.14,14.00
1872,-1.56,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.27,755,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.53,3.34,3.14,14.20
1976,-1.56,-1.56,1,14.51,13.68,8,14.69,190,0.26,0.27,764,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.53,3.47,3.14,14.30
2080,-1.56,-1.56,1,14.51,13.52,8,14.69,190,0.27,0.28,743,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.67,3.60,3.14,14.20
2184,-1.56,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.29,748,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.67,3.66,3.14,14.30
2288,-1.56,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.29,754,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.67,3.63,3.14,14.40
2392,-1.56,-1.56,1,14.51,13.68,8,14.69,190,0.28,0.29,739,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.67,3.63,3.14,14.50
2496,-1.56,-1.56,1,14.51,13.60,8,14.69,190,0.28,0.28,738,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.67,3.47,3.14,14.50
2600,-1.56,-1.56,1,14.51,13.52,8,14.69,190,0.27,0.27,744,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.67,3.28,3.14,14.50
2704,-1.56,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.27,730,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.67,3.19,3.14,14.50
2808,-1.56,-1.56,1,14.51,13.52,8,14.69,190,0.26,0.26,733,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.82,3.22,3.14,14.60
2912,-1.56,-1.56,1,14.51,13.68,8,14.69,190,0.26,0.27,735,0.00,1.00,0,0.5000,18.00,122,0,0.00,14,6.67,3.31,3.14,14.60
3016,-2.34,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.28,734,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.82,3.38,3.14,14.60
3120,-2.34,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.28,730,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.82,3.44,3.14,14.50
3224,-2.34,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.28,731,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.82,3.38,3.14,14.40
3328,-2.34,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.27,731,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.82,3.38,3.14,14.50
3432,-2.34,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.27,740,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.82,3.28,3.14,14.50
3536,-2.34,-1.56,1,14.51,13.68,8,14.69,190,0.26,0.28,727,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.82,3.31,3.14,14.40
3640,-2.34,-1.56,1,14.51,13.52,8,14.69,190,0.27,0.29,725,0.00,1.00,0,0.5000,17.50,122,0,0.00,14,6.96,3.50,3.14,14.50
3744,-1.56,-1.56,1,14.51,13.68,8,14.69,190,0.27,0.27,722,0.00,1.00,0,0.5000,18.50,122,0,0.00,14,6.96,3.25,3.14,14.50
3848,-1.56,-1.56,1,14.51,13.52,8,14.69,190,0.27,0.29,716,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.96,3.47,3.14,14.50
3952,-1.56,-1.56,1,14.51,13.68,8,14.69,190,0.28,0.29,731,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.96,3.60,3.14,14.70
4056,-0.78,-1.56,1,14.51,13.60,8,14.69,190,0.28,0.30,713,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.96,3.60,3.14,14.80
4160,-0.78,-1.56,1,14.51,13.68,8,14.69,190,0.28,0.30,723,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.96,3.66,3.14,15.00
4264,0.00,-1.56,1,14.51,13.60,8,14.69,190,0.28,0.29,734,0.00,1.00,0,0.5000,17.00,122,0,0.00,14,6.96,3.63,3.14,15.00
4368,0.00,-1.56,1,14.51,13.52,8,14.69,190,0.28,0.28,744,0.00,1.00,0,0.5000,16.50,122,0,0.00,14,6.96,3.47,3.14,15.10
4473,0.00,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.26,763,0.00,1.00,0,0.5000,16.00,122,0,0.00,14,6.96,3.34,3.14,15.10
4576,0.00,-1.56,1,14.51,13.60,8,14.69,190,0.27,0.26,778,0.00,1.00,0,0.5000,15.50,122,0,0.00,14,6.82,3.34,3.53,15.10
4680,0.00,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.27,765,0.00,1.00,0,0.5000,16.00,122,0,0.00,14,6.82,3.41,3.14,15.30
4784,0.00,-1.56,1,14.51,13.68,8,14.69,190,0.26,0.26,777,0.00,1.00,0,0.5000,16.50,122,0,0.00,14,6.82,3.41,3.53,15.10
4888,0.00,-1.56,1,14.51,13.52,8,14.69,190,0.26,0.27,780,0.00,1.00,0,0.5000,16.50,122,0,0.00,14,6.67,3.47,3.53,15.00
4992,0.00,-1.56,1,14.51,13.60,8,14.69,190,0.26,0.28,772,0.00,1.00,0,0.5000,16.50,122,0,0.00,14,6.67,3.60,3.53,15.00
5096,0.00,-1.56,1,14.51,13.36,8,14.69,190,0.26,0.27,783,0.00,1.00,0,0.5000,16.00,122,0,0.00,14,6.67,3.57,3.53,14.80
5200,0.78,-1.56,1,14.51,13.20,8,14.69,190,0.26,0.28,785,0.00,1.00,0,0.5000,16.50,122,0,0.00,14,6.82,3.78,5.10,14.80
5304,0.78,-1.56,1,14.51,13.60,8,14.69,190,0.28,0.32,766,0.00,0.88,0,0.5000,18.00,122,0,0.00,14,7.40,4.39,4.71,14.90
5408,0.78,-1.56,1,14.51,13.60,8,14.69,190,0.30,0.38,722,0.00,0.84,0,0.5000,18.00,122,0,0.00,14,7.84,4.59,4.71,14.80
5512,1.56,-1.56,1,14.51,13.52,8,14.69,190,0.32,0.37,753,0.00,0.91,0,0.5000,15.50,122,0,0.00,14,7.98,4.63,4.71,14.90
5617,2.34,-1.56,1,14.51,13.52,8,14.69,190,0.33,0.35,787,0.00,0.99,0,0.5000,15.50,124,0,0.00,14,8.13,4.66,4.71,15.10
5720,3.12,-1.56,1,14.51,13.68,8,14.69,190,0.34,0.35,793,0.00,0.99,0,0.5000,16.00,124,0,0.00,14,8.27,4.72,4.71,15.30
5824,3.12,-1.56,1,14.51,13.68,8,14.69,190,0.34,0.36,798,0.00,0.99,0,0.5000,16.00,124,0,0.00,14,8.27,4.78,4.71,15.30
5929,3.12,-1.56,1,14.51,13.52,8,14.69,190,0.35,0.37,791,0.00,0.99,0,0.5000,14.50,124,0,0.00,14,8.27,4.84,4.71,15.40
6032,3.12,-1.56,1,14.51,13.52,8,14.69,190,0.35,0.35,817,0.00,0.99,0,0.5000,13.00,124,0,0.00,14,8.27,4.82,4.71,15.40
6136,3.91,-1.56,1,14.51,13.52,8,14.69,190,0.35,0.35,828,0.00,0.99,0,0.5000,12.50,124,0,0.00,14,8.27,4.84,4.71,15.40
6240,4.69,-1.56,1,14.51,13.60,8,14.68,190,0.34,0.33,862,0.00,1.00,0,0.5000,12.50,124,0,0.00,14,8.13,4.82,4.71,15.60
6344,4.69,-1.56,1,14.51,13.52,8,14.68,190,0.34,0.34,853,0.00,1.00,0,0.5000,12.50,124,0,0.00,14,7.98,4.87,4.71,15.30
6448,4.69,-1.56,1,14.51,13.52,8,14.68,190,0.34,0.34,865,0.00,1.00,0,0.5000,12.00,124,0,0.00,14,7.98,4.82,4.71,15.60
6552,4.69,-1.56,1,14.51,13.52,8,14.68,190,0.34,0.33,866,0.00,1.00,0,0.5000,12.50,124,0,0.00,14,7.98,4.76,4.71,15.20
6656,4.69,-1.56,1,14.51,13.52,8,14.67,190,0.33,0.33,883,0.00,1.00,0,0.5000,13.00,124,0,0.00,14,7.84,4.87,4.71,15.10
6760,3.91,-1.56,1,14.51,13.60,8,14.68,190,0.33,0.34,867,0.00,1.00,0,0.5000,13.50,124,0,0.00,14,7.84,4.78,5.10,15.00
6864,3.91,-1.56,1,14.51,13.60,8,14.67,190,0.33,0.33,882,0.00,1.00,0,0.5000,13.00,124,0,0.00,14,7.84,5.00,5.10,14.80
6968,3.91,-1.56,1,14.51,13.60,8,14.67,190,0.33,0.34,882,0.00,1.00,0,0.5000,13.00,124,0,0.00,14,7.84,4.89,5.10,15.00
7073,3.91,-1.56,1,14.51,13.60,8,14.67,190,0.33,0.33,900,0.00,1.00,0,0.5000,13.50,124,0,0.00,14,7.69,4.97,5.10,14.10
7177,3.91,-1.56,1,14.51,13.52,8,14.67,190,0.33,0.34,883,0.00,1.00,0,0.5000,14.00,124,0,0.00,14,7.69,5.00,5.10,14.50
7280,3.91,-1.56,1,14.51,13.68,8,14.67,190,0.33,0.33,888,0.00,1.00,0,0.5000,13.50,124,0,0.00,14,7.69,4.84,5.10,14.50
7384,3.91,-1.56,1,14.51,13.68,8,14.67,190,0.33,0.32,898,0.00,1.00,0,0.5000,14.50,124,0,0.00,14,7.69,4.84,4.71,14.50
7488,3.12,-1.56,1,14.51,13.68,8,14.67,190,0.32,0.32,903,0.00,1.00,0,0.5000,13.50,124,0,0.00,14,7.69,4.82,4.71,14.50
7592,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.32,0.32,905,0.00,1.00,0,0.5000,14.50,124,0,0.00,14,7.55,4.78,4.71,14.40
7696,3.12,-1.56,1,14.51,13.44,8,14.67,190,0.32,0.31,901,0.00,1.00,0,0.5000,13.50,124,0,0.00,14,7.55,4.66,4.71,14.50
7801,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.31,0.31,897,0.00,1.00,0,0.5000,15.00,124,0,0.00,14,7.55,4.72,4.71,14.40
7904,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.32,0.33,901,0.00,1.00,0,0.5000,15.50,124,0,0.00,14,7.55,5.00,4.71,14.50
8008,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.32,0.33,913,0.00,1.00,0,0.5000,14.50,124,0,0.00,14,7.55,4.97,4.71,14.50
8112,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.32,0.32,912,0.00,1.00,0,0.5000,15.00,124,0,0.00,14,7.40,4.84,4.71,14.40
8216,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.32,0.32,915,0.00,1.00,0,0.5000,15.00,124,0,0.00,14,7.40,4.87,4.71,14.50
8320,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.32,0.32,913,0.00,1.00,0,0.5000,16.00,124,0,0.00,14,7.25,4.87,4.71,14.50
8424,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.32,0.32,910,0.00,1.00,0,0.5000,16.00,124,0,0.00,14,7.25,4.76,4.71,14.50
8528,3.12,-1.56,1,14.51,13.60,8,14.67,190,0.31,0.31,920,0.00,1.00,0,0.5000,16.50,124,0,0.00,14,7.11,4.69,4.71,14.50
8632,2.34,-1.56,1,14.51,13.60,8,14.67,190,0.31,0.31,901,0.00,1.00,0,0.5000,16.50,124,0,0.00,14,7.11,4.66,4.71,14.60
8736,1.56,-1.56,1,14.51,13.60,8,14.67,190,0.31,0.32,903,0.00,1.00,0,0.5000,16.50,124,0,0.00,14,7.11,4.82,4.71,14.30
8840,1.56,-1.56,1,14.51,13.60,8,14.67,190,0.31,0.32,899,0.00,1.00,0,0.5000,17.00,124,0,0.00,14,7.25,4.76,4.71,14.30
8945,0.78,-1.56,1,14.51,13.60,8,14.67,190,0.31,0.32,897,0.00,1.00,0,0.5000,17.00,124,0,0.00,14,7.25,4.78,4.71,14.20
9049,0.78,-1.56,1,14.51,13.68,8,14.67,190,0.31,0.32,891,0.00,1.00,0,0.5000,17.00,124,0,0.00,14,7.25,4.72,4.71,14.10
9152,0.00,-1.56,1,14.51,13.60,8,14.67,190,0.32,0.33,870,0.00,1.00,0,0.5000,17.00,124,0,0.00,14,7.25,4.76,4.71,14.10
9257,0.00,-1.56,1,14.51,13.60,8,14.68,190,0.32,0.33,862,0.00,1.00,0,0.5000,18.00,124,0,0.00,14,7.25,4.66,4.31,14.10
9361,0.00,-1.56,1,14.51,13.60,8,14.68,190,0.32,0.32,858,0.00,1.00,0,0.5000,17.50,124,0,0.00,14,7.25,4.53,4.31,14.20
9465,0.00,-1.56,1,14.51,13.60,8,14.68,190,0.31,0.31,863,0.00,1.00,0,0.5000,18.00,124,0,0.00,14,7.25,4.53,4.31,14.10
9569,0.00,-1.56,1,14.51,13.68,8,14.68,190,0.31,0.31,855,0.00,1.00,0,0.5000,17.50,124,0,0.00,14,7.25,4.31,4.31,14.20
