Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),Atmospheric Pressure (psi),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Fine Learning Knock Correction (4-byte)* (degrees),Fine Learning Table Offset* (index position),Ignition Base Timing* (degrees),Throttle Plate Opening Angle (4-byte)* (%),IAM (1-byte)** (multiplier)
0,4.69,3.91,14.51,8,14.69,189,0.30,786,0.00,16.50,129,0,0.00,0,7.55,3.97,4.31,14.80,0.00,1,16.91,4.03,0.5000
102,4.69,3.91,14.51,8,14.69,189,0.30,788,0.00,16.50,129,0,0.00,0,7.55,3.92,4.31,14.80,0.00,1,16.91,3.88,0.5000
204,4.69,3.91,14.51,8,14.69,189,0.30,788,0.00,16.50,129,0,0.00,0,7.55,3.95,4.31,14.80,0.00,1,16.91,4.03,0.5000
306,4.69,3.91,14.51,8,14.69,189,0.30,798,0.00,16.00,129,0,0.00,0,7.55,3.88,4.31,14.80,0.00,1,16.91,4.03,0.5000
408,4.69,3.91,14.51,8,14.69,189,0.29,798,0.00,16.00,129,0,0.00,0,7.40,3.88,4.31,14.90,0.00,1,16.91,4.03,0.5000
510,3.91,3.91,14.51,8,14.69,189,0.29,798,0.00,16.50,129,0,0.00,0,7.40,3.83,4.31,14.70,0.00,1,16.91,4.03,0.5000
612,3.91,3.91,14.51,8,14.69,189,0.29,802,0.00,16.50,129,0,0.00,0,7.40,3.88,3.92,14.80,0.00,1,16.91,3.88,0.5000
714,3.91,3.91,14.51,8,14.69,189,0.29,792,0.00,16.50,129,0,0.00,0,7.40,3.90,4.31,14.50,0.00,1,16.91,4.03,0.5000
815,3.91,3.91,14.51,8,14.69,189,0.29,801,0.00,16.50,129,0,0.00,0,7.40,3.92,4.31,14.60,0.00,1,16.91,3.88,0.5000
918,3.91,3.91,14.51,8,14.69,189,0.29,793,0.00,16.50,129,0,0.00,0,7.40,3.88,3.92,14.60,0.00,1,16.91,4.03,0.5000
1020,3.91,3.91,14.51,8,14.69,189,0.29,792,0.00,17.00,129,0,0.00,0,7.40,3.88,4.31,14.40,0.00,1,16.91,4.03,0.5000
1122,3.91,3.91,14.51,8,14.69,189,0.29,786,0.00,17.00,129,0,0.00,0,7.40,3.95,4.31,14.50,0.00,1,16.91,3.88,0.5000
1224,3.91,3.91,14.51,8,14.69,189,0.29,785,0.00,17.00,129,0,0.00,0,7.40,3.97,3.92,14.50,0.00,1,16.91,3.88,0.5000
1326,3.91,3.91,14.51,8,14.69,189,0.29,782,0.00,17.00,129,0,0.00,0,7.40,3.95,3.92,14.50,0.00,1,16.91,3.88,0.5000
1428,3.91,3.91,14.51,8,14.69,189,0.29,785,0.00,17.00,129,0,0.00,0,7.40,3.92,3.92,14.60,0.00,1,16.91,3.88,0.5000
1530,3.91,3.91,14.51,8,14.69,189,0.29,778,0.00,17.00,129,0,0.00,0,7.40,3.85,3.92,14.60,0.00,1,16.91,3.88,0.5000
1632,3.91,3.91,14.51,8,14.69,189,0.29,766,0.00,17.00,129,0,0.00,0,7.40,3.83,3.92,14.50,0.00,1,16.91,3.88,0.5000
1734,3.91,3.91,14.51,8,14.69,189,0.29,766,0.00,17.00,129,0,0.00,0,7.40,3.85,3.92,14.60,0.00,1,16.91,3.88,0.5000
1836,3.12,3.91,14.51,8,14.69,189,0.29,762,0.00,17.00,129,0,0.00,0,7.40,3.85,3.92,14.60,0.00,1,16.91,3.88,0.5000
1938,3.12,3.91,14.51,8,14.69,189,0.29,752,0.00,17.50,129,0,0.00,0,7.40,3.80,3.92,14.50,0.00,1,16.91,3.88,0.5000
2040,3.12,3.91,14.51,8,14.69,189,0.29,760,0.00,17.00,129,0,0.00,0,7.40,3.75,3.92,14.60,0.00,1,16.91,3.88,0.5000
2143,3.12,3.91,14.51,8,14.69,189,0.29,769,0.00,17.00,129,0,0.00,0,7.55,3.78,3.92,14.60,0.00,1,16.91,3.88,0.5000
2245,3.12,3.91,14.51,8,14.69,189,0.29,750,0.00,17.00,129,0,0.00,0,7.40,3.78,3.92,14.50,0.00,1,16.91,3.73,0.5000
2346,3.12,3.91,14.51,8,14.69,189,0.29,751,0.00,17.50,129,0,0.00,0,7.55,3.75,3.92,14.50,0.00,1,16.91,3.88,0.5000
2448,3.12,3.91,14.51,8,14.69,189,0.29,760,0.00,17.00,129,0,0.00,0,7.55,3.73,3.92,14.50,0.00,1,16.91,3.74,0.5000
2550,3.12,3.91,14.51,8,14.69,189,0.29,760,0.00,17.00,129,0,0.00,0,7.55,3.73,3.92,14.60,0.00,1,16.91,3.74,0.5000
2652,3.12,3.91,14.51,8,14.69,189,0.29,753,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.40,0.00,1,16.91,3.88,0.5000
2754,3.12,3.91,14.51,8,14.69,189,0.30,756,0.00,17.50,129,0,0.00,0,7.55,3.78,3.92,14.50,0.00,1,16.91,3.74,0.5000
2856,3.12,3.91,14.51,8,14.69,189,0.30,754,0.00,17.00,129,0,0.00,0,7.55,3.73,3.92,14.50,0.00,1,16.91,3.73,0.5000
2958,3.12,3.91,14.51,8,14.69,189,0.29,760,0.00,17.00,129,0,0.00,0,7.55,3.68,3.92,14.50,0.00,1,16.91,3.74,0.5000
3060,3.12,3.91,14.51,8,14.69,189,0.29,754,0.00,17.00,129,0,0.00,0,7.55,3.78,3.92,14.60,0.00,1,16.91,3.73,0.5000
