Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Atmospheric Pressure (psi),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),Air Conditioning Switch (On/Off),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-6.25,0.00,14.47,14.36,13.60,199,0.24,1478,25.00,2.50,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.40
70,-6.25,0.00,14.47,14.36,13.52,199,0.24,1469,25.00,2.53,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.50
139,-6.25,0.00,14.59,14.36,13.68,199,0.24,1470,25.00,2.51,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.50
207,-6.25,-0.78,14.47,14.36,13.68,199,0.24,1480,25.00,2.50,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.40
276,-6.25,-0.78,14.59,14.36,13.52,199,0.24,1464,25.00,2.52,102,0,0.00,5.08,-9.29,5.85,5.88,0,0,0,14.50
345,-6.25,-0.78,14.59,14.36,13.68,199,0.24,1468,25.00,2.52,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.50
414,-6.25,-0.78,14.59,14.36,13.52,199,0.24,1480,25.00,2.50,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.50
483,-6.25,-0.78,14.59,14.36,13.60,199,0.24,1476,25.00,2.52,102,0,0.00,5.22,-9.14,5.85,5.88,0,0,0,14.50
553,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1458,25.00,2.51,102,0,0.00,5.22,-9.14,5.82,5.88,0,0,0,14.50
621,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1469,25.00,2.48,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.50
694,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1464,25.00,2.50,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.40
760,-6.25,-0.78,14.59,14.36,13.60,199,0.24,1445,25.00,2.49,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.40
829,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1464,25.00,2.47,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.40
898,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1456,25.00,2.49,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
967,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1448,25.00,2.50,102,0,0.00,5.22,-9.14,5.85,5.88,0,0,0,14.60
1036,-6.25,-0.78,14.59,14.36,13.36,199,0.24,1462,25.00,2.47,102,0,0.00,5.22,-9.14,5.85,5.88,0,0,0,14.60
1105,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1465,25.00,2.48,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
1174,-6.25,-0.78,14.59,14.36,13.60,199,0.25,1450,25.00,2.49,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
1243,-6.25,-0.78,14.59,14.36,13.60,199,0.24,1465,25.00,2.48,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
1312,-6.25,-0.78,14.59,14.36,13.68,199,0.24,1470,25.00,2.49,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.60
1381,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1464,25.00,2.52,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
1449,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1459,25.00,2.49,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
1518,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1470,25.00,2.49,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
1588,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1466,25.00,2.52,102,0,0.00,5.08,-9.29,5.88,5.88,0,0,0,14.50
