Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Atmospheric Pressure (psi),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),Air Conditioning Switch (On/Off),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,5.47,0.00,14.59,14.36,14.08,100,0.34,1538,17.50,3.63,95,0,0.00,7.84,-6.53,8.93,9.02,0,1,0,14.40
68,5.47,0.00,14.59,14.36,14.00,100,0.35,1548,17.00,3.60,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.40
137,5.47,0.00,14.59,14.36,13.92,100,0.34,1544,17.00,3.75,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.40
206,5.47,0.00,14.59,14.36,13.92,100,0.34,1528,17.50,3.62,95,0,0.00,7.84,-6.53,8.71,9.02,0,1,0,14.50
275,5.47,0.00,14.59,14.36,13.92,100,0.34,1527,19.00,3.58,95,0,0.00,7.84,-6.53,8.71,9.02,0,1,0,14.50
344,5.47,0.00,14.59,14.36,13.92,100,0.35,1523,17.00,3.55,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.50
413,5.47,0.00,14.59,14.36,13.92,100,0.35,1534,17.00,3.57,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.50
482,5.47,0.00,14.59,14.36,14.00,100,0.34,1527,17.50,3.60,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.50
552,5.47,0.00,14.59,14.36,14.00,100,0.35,1516,17.50,3.59,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.50
621,5.47,0.00,14.70,14.36,13.92,100,0.34,1518,17.00,3.56,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.50
690,5.47,0.00,14.70,14.36,14.00,100,0.35,1526,17.00,3.55,95,0,0.00,7.84,-6.53,8.75,9.02,0,1,0,14.50
809,5.47,0.00,14.70,14.36,14.00,100,0.35,1515,17.00,3.58,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.80
827,5.47,0.00,14.70,14.36,14.00,100,0.34,1512,17.00,3.58,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.80
896,5.47,0.00,14.70,14.36,14.00,100,0.34,1528,17.00,3.57,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.70
966,5.47,0.00,14.70,14.36,13.92,100,0.34,1538,17.00,3.73,95,0,0.00,7.84,-6.53,8.63,9.02,0,1,0,14.70
1034,5.47,0.00,14.70,14.36,14.00,102,0.35,1525,17.50,3.58,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.70
1103,5.47,0.00,14.70,14.36,14.08,102,0.34,1511,17.00,3.58,95,0,0.00,7.84,-6.53,8.80,8.63,0,1,0,14.60
1172,5.47,0.00,14.70,14.36,13.92,102,0.35,1511,17.00,3.55,95,0,0.00,7.84,-6.53,8.80,8.63,0,1,0,14.60
1241,5.47,0.00,14.70,14.36,13.92,102,0.34,1524,17.00,3.54,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.60
1310,5.47,0.00,14.59,14.36,13.92,102,0.35,1504,18.00,3.54,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.60
