Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Atmospheric Pressure (psi),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),Air Conditioning Switch (On/Off),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,-1.56,14.70,14.36,13.52,194,0.37,842,17.00,1.98,104,0,0.00,8.42,-5.95,5.21,5.10,1,1,0,14.70
68,0.00,-1.56,14.70,14.36,13.36,194,0.37,850,17.00,1.99,104,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
137,0.00,-1.56,14.70,14.36,13.20,194,0.37,846,16.50,1.98,104,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
206,0.00,-1.56,14.70,14.36,13.20,194,0.37,846,17.00,1.99,104,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
275,0.00,-1.56,14.70,14.36,13.12,194,0.37,845,17.00,1.98,104,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
343,0.00,-1.56,14.70,14.36,13.20,194,0.37,839,17.00,1.97,104,0,0.00,8.42,-5.95,5.21,5.10,1,1,0,14.70
413,0.00,-1.56,14.70,14.36,13.20,194,0.37,833,17.00,1.97,104,0,0.00,8.42,-5.95,5.18,5.10,1,1,0,14.70
482,0.00,-1.56,14.59,14.36,13.36,194,0.37,832,17.00,1.97,104,0,0.00,8.42,-5.95,5.21,5.10,1,1,0,14.70
551,0.00,-1.56,14.70,14.36,13.36,194,0.38,828,17.00,1.95,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
620,0.00,-1.56,14.59,14.36,13.44,194,0.38,827,17.00,1.96,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
690,0.00,-1.56,14.59,14.36,13.52,194,0.38,822,17.00,1.94,106,0,0.00,8.42,-5.95,5.18,5.10,1,1,0,14.60
758,0.00,-1.56,14.59,14.36,13.52,194,0.38,821,17.00,1.93,106,0,0.00,8.42,-5.95,5.21,5.10,1,1,0,14.60
827,0.00,-1.56,14.70,14.36,13.20,194,0.38,822,17.00,1.93,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
897,0.00,-1.56,14.70,14.36,13.04,194,0.38,824,17.00,1.93,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
966,0.00,-1.56,14.70,14.36,13.12,194,0.38,823,17.00,1.93,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
1034,0.00,-1.56,14.70,14.36,13.12,194,0.38,830,17.00,1.95,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
1103,0.00,-1.56,14.70,14.36,13.12,194,0.38,828,17.00,1.94,106,0,0.00,8.56,-5.80,5.24,5.10,1,1,0,14.70
1174,0.00,-1.56,14.70,14.36,13.28,194,0.38,840,16.50,1.96,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
1241,0.00,-1.56,14.70,14.36,13.36,194,0.38,836,17.00,1.95,106,0,0.00,8.56,-5.80,5.24,5.10,1,1,0,14.80
1310,0.00,-1.56,14.70,14.36,13.36,194,0.38,838,17.00,1.95,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
1380,0.00,-1.56,14.70,14.36,13.44,194,0.37,842,16.50,1.95,106,0,0.00,8.56,-5.80,5.24,5.10,1,1,0,14.70
1449,0.00,-1.56,14.70,14.36,13.44,194,0.37,842,17.00,1.96,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
1517,0.00,-1.56,14.70,14.36,13.28,194,0.37,840,17.00,1.97,106,0,0.00,8.42,-5.95,5.24,5.49,1,1,0,14.70
1586,0.00,-1.56,14.70,14.36,13.12,194,0.37,846,17.00,1.98,106,0,0.00,8.42,-5.95,5.24,5.49,1,1,0,14.80
1656,0.00,-1.56,14.70,14.36,13.12,194,0.37,839,17.00,1.97,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.80
1725,0.00,-1.56,14.70,14.36,13.04,194,0.38,838,17.00,1.97,106,0,0.00,8.42,-5.95,5.24,5.49,1,1,0,14.70
1793,0.00,-1.56,14.70,14.36,13.04,194,0.37,846,17.00,1.99,106,0,0.00,8.42,-5.95,5.27,5.10,1,1,0,14.70
1862,0.00,-1.56,14.70,14.36,13.20,194,0.37,844,17.00,1.98,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
1931,0.00,-1.56,14.70,14.36,13.28,194,0.38,838,17.00,1.97,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
2001,0.00,-1.56,14.70,14.36,13.44,194,0.37,842,17.00,1.98,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
2069,0.00,-1.56,14.70,14.36,13.44,194,0.37,836,17.00,1.98,106,0,0.00,8.56,-5.80,5.24,5.10,1,1,0,14.70
2139,0.00,-1.56,14.70,14.36,13.52,194,0.37,835,17.00,1.98,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
2208,0.00,-1.56,14.70,14.36,13.52,194,0.37,839,17.00,1.99,106,0,0.00,8.42,-5.95,5.24,5.49,1,1,0,14.70
2276,0.00,-1.56,14.70,14.36,13.20,194,0.37,838,17.00,2.00,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
2345,0.00,-1.56,14.70,14.36,13.12,194,0.37,842,17.00,1.99,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
2415,0.00,-1.56,14.70,14.36,13.04,194,0.38,838,16.50,1.98,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.90
2484,0.00,-1.56,14.70,14.36,13.12,194,0.38,830,17.00,1.97,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.90
2552,0.00,-1.56,14.70,14.36,13.04,194,0.38,831,17.00,1.95,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
2622,0.00,-1.56,14.70,14.36,13.28,194,0.38,834,17.00,1.96,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
2691,0.00,-1.56,14.70,14.36,13.28,194,0.38,833,17.00,1.96,106,0,0.00,8.42,-5.95,5.27,5.10,1,1,0,14.80
2759,0.00,-1.56,14.70,14.36,13.36,194,0.38,834,17.00,1.96,106,0,0.00,8.42,-5.95,5.27,5.10,1,1,0,14.80
2828,0.00,-1.56,14.70,14.36,13.36,194,0.38,826,17.00,1.94,106,0,0.00,8.42,-5.95,5.27,5.10,1,1,0,14.70
2898,0.00,-1.56,14.70,14.36,13.52,194,0.38,827,17.00,1.94,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.60
2967,0.00,-1.56,14.70,14.36,13.20,194,0.38,830,17.00,1.95,106,0,0.00,8.56,-5.80,5.24,5.10,1,1,0,14.60
3035,0.00,-1.56,14.70,14.36,13.20,194,0.38,838,17.00,1.95,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.80
3104,0.00,-1.56,14.70,14.36,13.04,194,0.38,838,17.00,1.94,106,0,0.00,8.56,-5.80,5.24,5.10,1,1,0,14.70
3173,0.00,-1.56,14.70,14.36,13.04,194,0.38,834,17.00,1.94,106,0,0.00,8.42,-5.95,5.24,5.10,1,1,0,14.70
3243,0.00,-1.56,14.70,14.36,12.96,194,0.38,836,17.00,1.95,106,0,0.00,8.56,-5.80,5.24,5.10,1,1,0,14.60
