Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning #1 A (Stored)* (%),A/F Learning #1 B (Stored)* (%),A/F Learning #1 C (Stored)* (%),A/F Learning #1 D (Stored)* (%),A/F Learning Airflow Range (Current)* (offset),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),IAM (4-byte)* (multiplier),Mass Airflow (g/s),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.78,1.56,1.90,0.00,0.00,0.00,1,13.76,189,711,0.5000,3.05,14.70
75,0.78,1.56,1.90,0.00,0.00,0.00,1,13.84,189,704,0.5000,3.05,14.70
150,0.78,1.56,1.90,0.00,0.00,0.00,1,13.92,189,702,0.5000,3.07,14.70
226,0.78,1.56,1.90,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.07,14.70
301,0.78,1.56,1.90,0.00,0.00,0.00,1,13.68,189,704,0.5000,3.07,14.60
376,0.78,1.56,1.90,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.07,14.70
450,0.78,1.56,1.90,0.00,0.00,0.00,1,13.84,189,689,0.5000,3.07,14.70
525,0.78,1.56,1.90,0.00,0.00,0.00,1,13.84,189,699,0.5000,3.07,14.70
601,0.78,1.56,1.90,0.00,0.00,0.00,1,13.76,189,704,0.5000,3.07,14.60
676,0.78,1.56,1.90,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.05,14.70
750,0.78,1.56,1.90,0.00,0.00,0.00,1,13.84,189,713,0.5000,3.03,14.70
825,0.78,1.56,1.90,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.70
901,0.78,1.56,1.90,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.60
975,0.78,1.56,1.90,0.00,0.00,0.00,1,13.76,189,720,0.5000,3.03,14.70
1051,0.78,1.56,1.90,0.00,0.00,0.00,1,13.84,189,723,0.5000,3.05,14.70
1126,0.78,1.56,1.90,0.00,0.00,0.00,1,13.84,189,721,0.5000,3.05,14.70
1201,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,730,0.5000,3.03,14.70
1275,0.78,2.34,2.00,0.00,0.00,0.00,1,13.84,189,734,0.5000,3.07,14.70
1350,0.78,2.34,2.00,0.00,0.00,0.00,1,13.68,189,734,0.5000,3.07,14.70
1426,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,736,0.5000,3.07,14.70
1500,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,729,0.5000,3.07,14.70
1578,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,724,0.5000,3.07,14.70
1651,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,724,0.5000,3.07,14.70
1725,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.07,14.70
1800,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.07,14.90
1876,0.78,2.34,2.00,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.07,14.80
1950,0.78,2.34,2.00,0.00,0.00,0.00,1,13.84,189,707,0.5000,3.07,14.80
2026,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,704,0.5000,3.07,14.80
2101,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.05,14.70
2176,0.78,2.34,2.00,0.00,0.00,0.00,1,13.84,189,693,0.5000,3.03,14.70
2251,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,688,0.5000,3.03,14.70
2326,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,698,0.5000,3.03,14.80
2401,0.78,2.34,2.00,0.00,0.00,0.00,1,13.76,189,698,0.5000,3.03,14.80
2476,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,694,0.5000,3.03,14.70
2550,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,692,0.5000,3.03,14.70
2626,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,704,0.5000,3.03,14.70
2700,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,690,0.5000,3.03,14.80
2775,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,688,0.5000,3.03,14.70
2851,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,686,0.5000,3.03,14.70
2926,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,690,0.5000,3.03,14.70
3001,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,698,0.5000,3.03,14.70
3076,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,704,0.5000,3.00,14.70
3151,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.70
3226,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.70
3301,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.70
3376,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.60
3451,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,704,0.5000,3.03,14.60
3526,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.70
3601,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,704,0.5000,3.03,14.60
3676,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,698,0.5000,3.03,14.60
3751,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,713,0.5000,3.03,14.60
3826,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,722,0.5000,3.03,14.70
3901,0.78,2.34,2.10,0.00,0.00,0.00,1,13.60,189,719,0.5000,3.03,14.70
3976,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,722,0.5000,3.03,14.70
4051,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,721,0.5000,3.03,14.70
4126,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,718,0.5000,3.03,14.80
4201,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,709,0.5000,3.03,14.70
