Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Atmospheric Pressure (psi),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (4-byte)* (lambda),Gear (Calculated)* (position),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,7.81,0.78,2,14.36,14.08,8,14.63,118,0.38,0.37,1333,0.00,0.98,0,0.5000,16.50,90,0,0.00,0,8.56,8.43,8.63,14.70
103,7.81,0.78,2,14.36,14.00,8,14.63,118,0.38,0.37,1351,0.00,0.97,0,0.5000,17.00,90,0,0.00,0,8.56,8.39,8.63,14.70
208,7.81,0.78,2,14.36,14.00,8,14.63,118,0.37,0.37,1356,0.00,0.97,0,0.5000,16.50,90,0,0.00,0,8.56,8.39,8.63,14.80
312,8.59,0.78,2,14.36,14.08,8,14.63,118,0.37,0.37,1353,0.00,0.97,0,0.5000,16.50,90,0,0.00,0,8.56,8.35,8.63,14.80
415,7.81,0.78,2,14.36,14.00,8,14.63,118,0.37,0.38,1368,0.00,0.97,0,0.5000,16.50,90,0,0.00,0,8.56,8.51,8.63,14.80
520,7.81,0.78,2,14.36,14.08,8,14.63,118,0.37,0.38,1350,0.00,0.98,0,0.5000,16.50,90,0,0.00,0,8.56,8.47,8.63,14.50
624,7.81,0.78,2,14.36,14.08,8,14.63,118,0.37,0.36,1358,0.00,0.97,0,0.5000,17.00,90,0,0.00,0,8.56,8.35,8.63,14.40
728,8.59,0.78,2,14.36,14.00,8,14.63,118,0.37,0.36,1371,0.00,0.97,0,0.5000,16.50,90,0,0.00,0,8.56,8.31,8.63,14.70
831,7.81,0.78,2,14.36,14.00,8,14.63,118,0.37,0.37,1358,0.00,0.98,0,0.5000,16.50,90,0,0.00,0,8.42,8.47,8.63,14.50
936,7.81,0.78,2,14.36,14.08,8,14.63,118,0.37,0.37,1353,0.00,0.98,0,0.5000,17.00,90,0,0.00,0,8.56,8.51,8.63,14.60
