Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Atmospheric Pressure (psi),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (4-byte)* (lambda),Gear (Calculated)* (position),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,3.12,0.00,2,14.51,14.00,8,14.62,106,0.37,0.37,1489,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.98,9.24,9.02,14.50
103,2.34,0.00,2,14.51,14.00,8,14.62,106,0.37,0.37,1508,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.98,9.29,9.02,14.50
207,2.34,0.00,2,14.51,14.00,8,14.62,106,0.37,0.36,1493,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.98,8.95,9.02,14.50
312,2.34,0.00,2,14.51,14.00,8,14.62,106,0.37,0.36,1508,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.98,9.05,8.63,14.40
416,2.34,0.00,2,14.51,14.08,8,14.62,106,0.37,0.36,1500,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.98,9.05,8.63,14.40
519,2.34,0.00,2,14.51,14.00,8,14.62,106,0.36,0.35,1507,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.98,8.90,8.63,14.40
623,2.34,0.00,2,14.51,14.00,8,14.62,106,0.36,0.36,1508,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.85,8.63,14.40
728,1.56,0.00,2,14.51,14.00,8,14.62,106,0.36,0.37,1481,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.98,9.34,8.63,14.50
832,1.56,0.00,2,14.51,14.00,8,14.62,106,0.37,0.36,1501,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.98,9.15,8.63,14.50
935,1.56,0.00,2,14.51,14.00,8,14.62,106,0.37,0.36,1501,0.00,0.97,0,0.5000,16.00,86,4,0.00,0,7.84,9.15,8.63,14.50
1040,1.56,0.00,2,14.51,13.92,8,14.62,106,0.36,0.37,1515,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.84,9.14,8.63,14.50
1143,1.56,0.00,2,14.51,14.08,8,14.62,106,0.37,0.35,1520,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.84,8.95,8.63,14.60
1248,1.56,0.00,2,14.51,14.08,8,14.62,106,0.36,0.36,1518,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.84,9.15,8.63,14.50
1352,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.36,1524,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.84,9.05,8.63,14.40
1456,1.56,0.00,2,14.51,14.08,8,14.62,108,0.36,0.36,1517,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.84,9.00,8.63,14.50
1560,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.36,1508,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,9.05,8.63,14.50
1664,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.36,1514,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,9.00,8.63,14.40
1769,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.36,1502,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.84,8.85,8.63,14.50
1873,0.78,0.00,2,14.51,14.00,8,14.62,108,0.36,0.34,1522,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.84,8.75,8.63,14.50
1977,0.78,0.00,2,14.51,14.00,8,14.62,108,0.35,0.35,1525,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.69,8.90,8.63,14.50
2081,0.78,0.00,2,14.51,14.08,8,14.62,108,0.35,0.36,1498,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.69,8.80,8.63,14.50
2185,0.78,0.00,2,14.51,13.92,8,14.62,108,0.35,0.36,1496,0.00,0.97,0,0.5000,18.00,86,4,0.00,0,7.69,9.05,8.63,14.50
2289,0.78,0.00,2,14.51,14.08,8,14.62,108,0.36,0.36,1470,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.95,8.63,14.60
2392,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.36,1491,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.75,8.63,14.60
2497,1.56,0.00,2,14.51,14.08,8,14.62,108,0.36,0.36,1482,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.90,8.63,14.60
2601,1.56,0.00,2,14.51,14.08,8,14.62,108,0.36,0.35,1475,0.00,0.97,0,0.5000,18.00,86,4,0.00,0,7.84,8.70,8.63,14.60
2706,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.35,1416,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.60,8.63,14.60
2811,1.56,0.00,2,14.51,14.08,8,14.62,108,0.36,0.35,1466,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.60,8.63,14.70
2915,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.35,1475,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.65,8.63,14.70
3019,1.56,0.00,2,14.51,13.92,8,14.62,108,0.36,0.36,1474,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.75,8.63,14.70
3123,1.56,0.00,2,14.51,14.08,8,14.62,108,0.36,0.36,1472,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.85,8.63,14.70
3227,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.36,1468,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.85,8.63,14.70
3330,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.35,1472,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.55,8.63,14.60
3435,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.36,1494,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.84,8.85,8.63,14.80
3539,1.56,0.00,2,14.51,13.84,8,14.62,108,0.36,0.34,1475,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.45,8.63,14.60
3643,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.34,1486,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.65,8.63,14.60
3747,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.36,1472,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.75,8.63,14.60
3850,1.56,0.00,2,14.51,13.92,8,14.62,108,0.35,0.36,1477,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.75,8.63,14.60
3955,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.34,1471,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.55,8.63,14.50
4059,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.35,1478,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.50,8.63,14.70
4163,1.56,0.00,2,14.51,14.08,8,14.62,108,0.35,0.36,1420,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.75,8.63,14.70
4267,1.56,0.00,2,14.51,14.08,8,14.62,108,0.35,0.36,1522,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.55,8.63,14.70
4371,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.36,1471,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.75,8.63,14.70
4475,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.36,1471,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.85,8.63,14.90
4579,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.35,1482,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.80,8.63,14.70
4683,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.36,1470,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.95,8.24,14.80
4787,1.56,0.00,2,14.51,14.00,8,14.62,108,0.36,0.35,1479,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.69,8.60,8.63,14.50
4891,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.36,1476,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.65,8.24,14.50
4995,1.56,0.00,2,14.51,14.08,8,14.62,108,0.35,0.34,1479,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.69,8.50,8.63,14.60
5100,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.34,1490,0.00,0.97,0,0.5000,16.50,86,4,0.00,0,7.69,8.50,8.24,14.50
5203,1.56,0.00,2,14.51,14.00,8,14.62,108,0.35,0.35,1450,0.00,0.97,0,0.5000,17.50,86,4,0.00,0,7.69,8.55,8.24,14.50
5307,1.56,0.00,2,14.51,14.08,8,14.62,108,0.35,0.36,1460,0.00,0.97,0,0.5000,17.00,86,4,0.00,0,7.84,8.65,8.24,14.60
