Time (msec),Engine Speed (rpm),A/F Correction #1 (%),A/F Learning #1 (%),Battery Voltage (V),Coolant Temperature (F),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Mass Airflow (g/s),Throttle Opening Angle (%),Knock Correction Advance (degrees),Engine Load (Calculated) (g/rev),Injector Duty Cycle (%),Ignition Total Timing (degrees),Intake Air Temperature (F),A/F Sensor #1 (AFR),Manifold Relative Pressure (psi),Intake VVT Advance Angle Right (degrees),Atmospheric Pressure (psi),Manifold Absolute Pressure (psi),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),Air Conditioning Switch (On/Off)
0,770,0.00,0.00,13.04,183,0.00,3.69,3.92,0.00,0.29,1.81,19.00,104,14.59,-7.40,0,14.36,6.82,1,0,0
69,758,0.00,0.00,13.04,183,0.00,3.67,3.92,0.00,0.29,1.79,19.50,104,14.59,-7.40,0,14.36,6.82,1,0,0
137,704,0.00,0.00,13.04,183,0.00,3.67,3.92,0.00,0.29,1.78,19.50,104,14.59,-7.40,0,14.36,6.82,1,0,0
208,760,0.00,0.00,13.12,183,0.00,3.65,3.92,0.00,0.29,1.78,19.00,104,14.59,-7.40,0,14.36,6.82,1,0,0
276,756,0.00,0.00,13.04,183,0.00,3.62,3.92,0.00,0.29,1.77,18.50,104,14.59,-7.40,0,14.36,6.82,1,0,0
345,751,0.00,0.00,13.04,183,0.00,3.62,3.92,0.00,0.29,1.77,19.00,104,14.59,-7.40,0,14.36,6.82,1,0,0
413,750,0.00,0.00,13.04,183,0.00,3.60,3.92,0.00,0.29,1.77,19.00,104,14.59,-7.55,0,14.36,6.82,1,0,0
483,746,0.00,0.00,13.12,183,0.00,3.62,3.92,0.00,0.29,1.75,19.50,104,14.47,-7.40,0,14.36,6.82,1,0,0
552,748,0.00,0.00,13.04,183,0.00,3.62,3.92,0.00,0.29,1.76,20.00,104,14.47,-7.40,0,14.36,6.82,1,0,0
621,750,0.00,0.00,13.04,183,0.00,3.60,3.92,0.00,0.29,1.75,19.00,104,14.47,-7.40,0,14.36,6.82,1,0,0
690,742,0.00,0.00,13.20,183,0.00,3.60,3.92,0.00,0.29,1.74,19.50,104,14.47,-7.40,0,14.36,6.82,1,0,0
759,743,0.00,0.00,13.12,183,0.00,3.57,3.92,0.00,0.29,1.74,19.00,104,14.47,-7.40,0,14.36,6.82,1,0,0
827,727,0.00,0.00,13.12,183,0.00,3.55,3.92,0.00,0.29,1.72,20.00,104,14.47,-7.40,0,14.36,6.82,1,0,0
897,730,0.00,0.00,13.12,183,0.00,3.52,3.92,0.00,0.29,1.71,20.00,104,14.36,-7.55,0,14.36,6.82,1,0,0
966,729,0.00,0.00,13.12,183,0.00,3.47,3.92,0.00,0.29,1.71,19.50,104,14.36,-7.55,0,14.36,6.82,1,0,0
1035,726,0.00,0.00,13.04,183,0.00,3.47,3.92,0.00,0.29,1.70,20.00,104,14.36,-7.55,0,14.36,6.82,1,0,0
1103,721,0.00,0.00,13.12,183,0.00,3.47,3.92,0.00,0.29,1.70,19.50,104,14.36,-7.55,0,14.36,6.82,1,0,0
1172,717,0.00,0.00,13.12,183,0.00,3.47,3.92,0.00,0.29,1.68,20.00,104,14.36,-7.40,0,14.36,6.82,1,0,0
1242,720,0.00,0.00,13.12,183,0.00,3.47,3.92,0.00,0.29,1.70,19.50,104,14.24,-7.55,0,14.36,6.82,1,0,0
1311,725,0.00,0.00,13.12,183,0.00,3.45,3.92,0.00,0.29,1.70,19.00,104,14.24,-7.40,0,14.36,6.82,1,0,0
1380,721,0.00,0.00,13.12,183,0.00,3.47,3.53,0.00,0.29,1.69,19.00,104,14.24,-7.40,0,14.36,6.82,1,0,0
1449,718,0.00,0.00,13.12,183,0.00,3.45,3.53,0.00,0.29,1.69,19.00,104,14.24,-7.40,0,14.36,6.82,1,0,0
1518,710,0.00,0.00,13.12,183,0.00,3.43,3.53,0.00,0.29,1.67,19.50,104,14.13,-7.40,0,14.36,6.82,1,0,0
1587,712,0.00,0.00,13.12,183,0.00,3.43,3.53,0.00,0.29,1.67,19.00,104,14.13,-7.55,0,14.36,6.82,1,0,0
1655,706,0.00,0.00,13.04,183,0.00,3.41,3.53,0.00,0.29,1.67,19.00,104,14.13,-7.40,0,14.36,6.82,1,0,0
1725,711,0.00,0.00,13.12,183,0.00,3.41,3.53,0.00,0.29,1.67,19.00,104,14.01,-7.55,0,14.36,6.82,1,0,0
1794,704,0.00,0.00,13.12,183,0.00,3.41,3.53,0.00,0.29,1.65,19.00,104,14.01,-7.40,0,14.36,6.82,1,0,0
1863,640,0.00,0.00,13.12,183,0.00,3.38,3.53,0.00,0.29,1.64,19.50,102,14.01,-7.40,0,14.36,6.82,1,0,0
1931,704,0.00,0.00,13.12,183,0.00,3.38,3.53,0.00,0.29,1.65,19.00,102,14.01,-7.55,0,14.36,6.82,1,0,0
2001,696,0.00,0.00,13.12,183,0.00,3.38,3.53,0.00,0.29,1.64,19.50,102,13.90,-7.40,0,14.36,6.82,1,0,0
2070,699,0.00,0.00,13.20,183,0.00,3.36,3.53,0.00,0.29,1.64,19.00,102,13.90,-7.40,0,14.36,6.82,1,0,0
2139,694,0.00,0.00,13.04,183,0.00,3.36,3.53,0.00,0.29,1.63,18.50,102,13.78,-7.40,0,14.36,6.82,1,0,0
2208,692,0.00,0.00,13.12,183,0.00,3.38,3.53,0.00,0.29,1.62,19.50,102,13.78,-7.40,0,14.36,6.96,1,0,0
2277,689,0.00,0.00,13.12,181,0.00,3.36,3.53,0.00,0.29,1.62,19.50,102,13.78,-7.40,0,14.36,6.96,1,0,0
2346,676,0.00,0.00,13.04,181,0.00,3.34,3.53,0.00,0.29,1.60,19.50,102,13.67,-7.40,0,14.36,6.96,1,0,0
2415,684,0.00,0.00,13.12,181,0.00,3.32,3.53,0.00,0.29,1.60,19.50,102,13.67,-7.40,0,14.36,6.96,1,0,0
2483,683,0.00,0.00,13.04,181,0.00,3.32,3.53,0.00,0.29,1.61,19.00,102,13.55,-7.40,0,14.36,6.96,1,0,0
2553,678,0.00,0.00,13.20,181,0.00,3.34,3.53,0.00,0.30,1.59,19.50,102,13.55,-7.40,0,14.36,6.96,1,0,0
2622,684,0.00,0.00,13.12,181,0.00,3.34,3.53,0.00,0.29,1.61,18.50,102,13.55,-7.40,0,14.36,6.96,1,0,0
2691,680,0.00,0.00,13.12,181,0.00,3.32,3.53,0.00,0.29,1.60,18.50,102,13.44,-7.40,0,14.36,6.96,1,0,0
2760,683,0.00,0.00,13.04,181,0.00,3.32,3.53,0.00,0.29,1.60,18.50,102,13.44,-7.40,0,14.36,6.96,1,0,0
2829,686,0.00,0.00,13.04,181,0.00,3.32,3.53,0.00,0.29,1.60,18.50,102,13.32,-7.40,0,14.36,6.96,1,0,0
2897,684,0.00,0.00,13.12,181,0.00,3.34,3.53,0.00,0.29,1.60,18.00,102,13.32,-7.40,0,14.36,6.96,1,0,0
2967,675,0.00,0.00,13.12,181,0.00,3.32,3.53,0.00,0.29,1.59,18.50,102,13.21,-7.40,0,14.36,6.96,1,0,0
3037,677,0.00,0.00,13.12,181,0.00,3.32,3.53,0.00,0.29,1.59,18.50,102,13.21,-7.40,0,14.36,6.96,1,0,0
3105,674,0.00,0.00,13.04,181,0.00,3.34,3.53,0.00,0.30,1.58,18.50,102,13.09,-7.40,0,14.36,6.96,1,0,0
3174,675,0.00,0.00,13.20,181,0.00,3.34,3.53,0.00,0.30,1.58,18.00,102,13.09,-7.40,0,14.36,6.96,1,0,0
3243,674,0.00,0.00,13.04,181,0.00,3.34,3.53,0.00,0.30,1.58,18.00,102,12.98,-7.25,0,14.36,6.96,1,0,0
3312,679,0.00,0.00,13.12,181,0.00,3.34,3.53,0.00,0.29,1.60,17.50,102,12.98,-7.40,0,14.36,6.96,1,0,0
3381,680,0.00,0.00,13.12,181,0.00,3.34,3.53,0.00,0.30,1.60,17.50,102,12.86,-7.25,0,14.36,6.96,1,0,0
3450,674,0.00,0.00,13.12,181,0.00,3.36,3.53,0.00,0.30,1.58,18.00,102,12.86,-7.25,0,14.36,6.96,1,0,0
3519,674,0.00,0.00,13.12,181,0.00,3.34,3.53,0.00,0.30,1.58,17.50,102,12.75,-7.25,0,14.36,6.96,1,0,0
3588,675,0.00,0.00,13.12,181,0.00,3.36,3.53,0.00,0.30,1.58,17.50,102,12.75,-7.25,0,14.36,7.11,1,0,0
3658,679,0.00,0.00,13.20,181,0.00,3.36,3.53,0.00,0.30,1.59,17.00,102,12.63,-7.25,0,14.36,7.11,1,0,0
3726,685,0.00,0.00,13.04,181,0.00,3.36,3.53,0.00,0.30,1.61,17.00,102,12.63,-7.25,0,14.36,7.11,1,0,0
3795,686,0.00,0.00,13.20,181,0.00,3.36,3.53,0.00,0.29,1.61,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
3864,682,0.00,0.00,13.12,181,0.00,3.36,3.53,0.00,0.29,1.60,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
3933,681,0.00,0.00,13.04,181,0.00,3.36,3.53,0.00,0.29,1.61,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
4002,689,0.00,0.00,13.20,181,0.00,3.36,3.53,0.00,0.30,1.62,17.00,102,12.40,-7.25,0,14.36,6.96,1,0,0
4071,684,0.00,0.00,13.12,181,0.00,3.38,3.53,0.00,0.30,1.60,17.00,102,12.40,-7.25,0,14.36,7.11,1,0,0
4140,685,0.00,0.00,13.20,181,0.00,3.38,3.53,0.00,0.29,1.61,17.00,102,12.40,-7.25,0,14.36,7.11,1,0,0
4209,685,0.00,0.00,13.12,181,0.00,3.38,3.53,0.00,0.29,1.61,17.00,102,12.40,-7.25,0,14.36,6.96,1,0,0
4278,688,0.00,0.00,13.12,181,0.00,3.36,3.53,0.00,0.29,1.62,17.00,102,12.40,-7.25,0,14.36,6.96,1,0,0
4347,691,0.00,0.00,13.12,181,0.00,3.38,3.53,0.00,0.29,1.62,17.00,102,12.40,-7.25,0,14.36,6.96,1,0,0
4416,689,0.00,0.00,13.12,181,0.00,3.38,3.53,0.00,0.29,1.62,17.00,102,12.40,-7.25,0,14.36,6.96,1,0,0
4485,684,0.00,0.00,13.20,181,0.00,3.41,3.53,0.00,0.30,1.60,17.00,102,12.52,-7.25,0,14.36,6.96,1,0,0
4554,692,0.00,0.00,13.12,181,0.00,3.41,3.53,0.00,0.30,1.63,17.00,102,12.52,-7.25,0,14.36,6.96,1,0,0
4623,686,0.00,0.00,13.20,181,0.00,3.41,3.92,0.00,0.30,1.61,17.00,102,12.52,-7.25,0,14.36,6.96,1,0,0
4692,692,0.00,0.00,13.12,181,0.00,3.41,3.92,0.00,0.30,1.62,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
4761,692,0.00,0.00,13.12,181,0.00,3.43,3.92,0.00,0.30,1.62,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
4830,688,0.00,0.00,13.20,181,0.00,3.43,3.53,0.00,0.30,1.62,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
4899,684,0.00,0.00,13.20,181,0.00,3.43,3.92,0.00,0.30,1.62,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
4968,692,0.00,0.00,13.20,181,0.00,3.45,3.92,0.00,0.30,1.62,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
5037,696,0.00,0.00,13.12,181,0.00,3.43,3.53,0.00,0.30,1.63,17.00,102,12.52,-7.25,0,14.36,7.11,1,0,0
5106,698,0.00,0.00,13.20,181,0.00,3.43,3.92,0.00,0.30,1.64,17.00,102,12.63,-7.25,0,14.36,7.11,1,0,0
5175,693,0.00,0.00,13.20,181,0.00,3.45,3.92,0.00,0.29,1.63,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
5244,698,0.00,0.00,13.20,181,0.00,3.43,3.92,0.00,0.29,1.65,16.50,100,12.63,-7.25,0,14.36,7.11,1,0,0
5313,704,0.00,0.00,13.28,181,0.00,3.45,3.92,0.00,0.29,1.65,16.50,100,12.63,-7.25,0,14.36,7.11,1,0,0
5382,709,0.00,0.00,13.20,181,0.00,3.45,3.53,0.00,0.30,1.66,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
5451,715,0.00,0.00,13.20,181,0.00,3.45,3.92,0.00,0.29,1.66,16.50,100,12.63,-7.25,0,14.36,6.96,1,0,0
5520,710,0.00,0.00,13.28,181,0.00,3.48,3.53,0.00,0.29,1.66,16.50,100,12.63,-7.25,0,14.36,6.96,1,0,0
5589,710,0.00,0.00,13.20,181,0.00,3.48,3.92,0.00,0.29,1.67,16.50,100,12.63,-7.40,0,14.36,6.96,1,0,0
5658,764,0.00,0.00,13.20,181,0.00,3.48,3.92,0.00,0.30,1.66,16.50,100,12.63,-7.40,0,14.36,6.96,1,0,0
