Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Atmospheric Pressure (psi),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),Air Conditioning Switch (On/Off),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,1.56,-3.12,14.59,14.36,13.44,192,0.26,752,16.50,1.28,106,0,0.00,6.24,-8.13,3.25,3.14,0,1,0,14.80
70,1.56,-3.12,14.59,14.36,13.52,192,0.26,746,16.50,1.27,106,0,0.00,6.24,-8.13,3.25,3.14,0,1,0,14.50
139,1.56,-3.12,14.59,14.36,13.52,192,0.26,738,17.00,1.27,106,0,0.00,6.24,-8.13,3.25,3.14,0,1,0,14.50
207,1.56,-3.12,14.59,14.36,13.44,192,0.26,737,17.00,1.27,106,0,0.00,6.24,-8.13,3.25,3.14,0,1,0,14.50
276,1.56,-3.12,14.59,14.36,13.52,192,0.26,736,17.00,1.26,106,0,0.00,6.24,-8.13,3.22,3.14,0,1,0,14.50
345,1.56,-3.12,14.59,14.36,13.44,192,0.27,733,17.00,1.25,106,0,0.00,6.24,-8.13,3.22,3.14,0,1,0,14.60
414,1.56,-3.12,14.59,14.36,13.52,192,0.27,728,17.00,1.23,106,0,0.00,6.24,-8.13,3.22,3.14,0,1,0,14.60
484,1.56,-3.12,14.47,14.36,13.44,192,0.27,728,17.00,1.24,106,0,0.00,6.24,-8.13,3.22,3.14,0,1,0,14.50
552,0.78,-3.12,14.47,14.36,13.52,192,0.27,726,17.00,1.24,106,0,0.00,6.24,-8.13,3.25,3.14,0,1,0,14.50
621,0.78,-3.12,14.47,14.36,13.44,192,0.27,720,17.00,1.24,106,0,0.00,6.24,-8.13,3.25,3.14,0,1,0,14.50
691,0.78,-3.12,14.47,14.36,13.44,192,0.27,717,17.00,1.22,106,0,0.00,6.24,-8.13,3.25,3.14,0,1,0,14.50
759,0.78,-3.12,14.47,14.36,13.52,192,0.27,722,17.00,1.23,106,0,0.00,6.24,-8.13,3.22,3.14,0,1,0,14.50
829,0.78,-3.12,14.47,14.36,13.44,192,0.26,733,17.00,1.24,106,0,0.00,6.24,-8.13,3.20,3.14,0,1,0,14.50
897,0.78,-3.12,14.47,14.36,13.52,192,0.26,731,17.00,1.25,106,0,0.00,6.24,-8.13,3.20,3.14,0,1,0,14.50
966,0.78,-3.12,14.47,14.36,13.52,192,0.26,730,17.00,1.25,106,0,0.00,6.24,-8.13,3.18,3.14,0,1,0,14.50
1035,0.78,-3.12,14.47,14.36,13.44,192,0.26,721,17.00,1.25,106,0,0.00,6.24,-8.13,3.18,3.14,0,1,0,14.50
1104,0.78,-3.12,14.47,14.36,13.36,192,0.26,723,17.00,1.23,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.50
1173,0.78,-3.12,14.47,14.36,13.52,192,0.26,721,17.00,1.23,106,0,0.00,6.24,-8.13,3.18,3.14,0,1,0,14.50
1242,0.78,-3.12,14.47,14.36,13.36,192,0.26,724,17.00,1.23,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.50
1311,0.78,-3.12,14.47,14.36,13.36,192,0.26,726,17.00,1.24,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.50
1380,0.00,-3.12,14.47,14.36,13.44,192,0.26,726,17.00,1.24,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.50
1449,0.00,-3.12,14.47,14.36,13.52,192,0.26,724,17.00,1.24,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.50
1519,0.00,-3.12,14.47,14.36,13.36,192,0.27,714,17.00,1.22,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.50
1587,0.00,-3.12,14.47,14.36,13.52,192,0.27,714,17.00,1.21,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.60
1657,0.00,-3.12,14.47,14.36,13.52,192,0.26,719,17.00,1.22,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.50
1726,0.00,-3.12,14.47,14.36,13.44,192,0.26,720,17.00,1.23,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.50
1795,0.00,-3.12,14.47,14.36,13.44,192,0.26,708,17.50,1.21,106,0,0.00,6.24,-8.13,3.13,3.14,0,1,0,14.40
1864,0.00,-3.12,14.47,14.36,13.44,192,0.27,701,17.00,1.20,106,0,0.00,6.24,-8.13,3.13,3.14,0,1,0,14.40
1933,0.00,-3.12,14.47,14.36,13.44,192,0.27,705,17.50,1.20,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.40
2002,0.00,-3.12,14.47,14.36,13.36,192,0.27,714,17.00,1.20,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.40
2071,0.00,-3.12,14.47,14.36,13.36,192,0.27,701,17.00,1.20,106,0,0.00,6.24,-8.13,3.16,3.14,0,1,0,14.40
2140,0.00,-3.12,14.47,14.36,13.52,192,0.27,699,17.50,1.19,106,0,0.00,6.24,-8.13,3.11,3.14,0,1,0,14.40
2209,0.00,-3.12,14.59,14.36,13.44,192,0.27,691,18.00,1.18,106,0,0.00,6.24,-8.13,3.11,3.14,0,1,0,14.40
2278,0.00,-3.12,14.59,14.36,13.52,192,0.27,693,17.50,1.18,106,0,0.00,6.24,-8.13,3.09,3.14,0,1,0,14.50
2346,0.00,-3.12,14.59,14.36,13.52,192,0.26,701,17.00,1.19,106,0,0.00,6.38,-7.98,3.07,3.14,0,1,0,14.50
2416,0.00,-3.12,14.59,14.36,13.68,192,0.26,708,17.50,1.21,106,0,0.00,6.38,-7.98,3.09,3.14,0,1,0,14.50
2485,0.00,-3.12,14.59,14.36,13.68,192,0.26,705,17.00,1.20,106,0,0.00,6.38,-7.98,3.09,3.14,0,1,0,14.50
2554,0.00,-3.12,14.59,14.36,13.60,192,0.27,696,17.50,1.20,106,0,0.00,6.38,-7.98,3.09,3.14,0,1,0,14.50
2623,-0.78,-3.12,14.59,14.36,13.60,192,0.27,693,17.00,1.18,106,0,0.00,6.38,-7.98,3.07,3.14,0,1,0,14.50
2692,-0.78,-3.12,14.59,14.36,13.60,192,0.26,706,17.00,1.20,106,0,0.00,6.38,-7.98,3.07,3.14,0,1,0,14.50
2761,-0.78,-3.12,14.59,14.36,13.60,192,0.26,709,17.00,1.21,106,0,0.00,6.38,-7.98,3.07,3.14,0,1,0,14.60
