timestamp,gpu0_core,gpu0_junc,gpu0_vram,gpu0_pwr,gpu1_core,gpu1_junc,gpu1_vram,gpu1_pwr,sm_max,util_max,fan1_rpm,fan2_rpm,cpu_C,inlet_C,hottest
2026-07-04 07:52:30,38.0,52.0,48.0,114.29,41.0,52.0,46.0,99.28,1890.0,0.0,1920,1800,46,21,gpu0
2026-07-04 07:52:44,38.0,52.0,48.0,114.53,41.0,53.0,46.0,99.8,1890.0,2.0,1920,1800,46,21,gpu1
2026-07-04 07:52:58,39.0,52.0,48.0,115.72,42.0,53.0,46.0,100.29,1890.0,0.0,1920,1800,46,21,gpu1
2026-07-04 07:53:08,40.0,54.0,52.0,116.57,56.0,67.0,62.0,445.53,1995.0,99.0,1920,1800,45,21,gpu1
2026-07-04 07:53:18,53.0,67.0,68.0,335.33,59.0,71.0,68.0,446.13,2025.0,99.0,1920,1800,44,21,gpu1
2026-07-04 07:53:26,56.0,70.0,72.0,335.46,62.0,74.0,72.0,447.1,2010.0,99.0,2760,2760,45,21,gpu1
2026-07-04 07:53:34,59.0,74.0,74.0,335.42,64.0,76.0,76.0,444.99,1965.0,99.0,2760,2760,44,20,gpu1
2026-07-04 07:53:42,61.0,77.0,76.0,335.66,66.0,78.0,78.0,443.97,1995.0,99.0,3120,3000,45,20,gpu1
2026-07-04 07:53:51,64.0,80.0,80.0,335.99,69.0,80.0,82.0,445.41,2010.0,99.0,3480,3360,45,21,gpu0
2026-07-04 07:54:00,66.0,82.0,82.0,335.88,70.0,82.0,84.0,445.65,1935.0,99.0,3480,3360,43,20,gpu0
2026-07-04 07:54:09,68.0,84.0,84.0,335.14,71.0,82.0,84.0,445.82,2010.0,99.0,3480,3360,43,21,gpu0
2026-07-04 07:54:16,70.0,86.0,86.0,336.09,71.0,83.0,86.0,444.98,1965.0,99.0,3600,3480,44,20,gpu0
2026-07-04 07:54:24,71.0,87.0,88.0,336.24,72.0,84.0,86.0,447.4,1995.0,99.0,3600,3480,43,20,gpu0
2026-07-04 07:54:32,72.0,88.0,90.0,333.67,73.0,85.0,88.0,445.51,1935.0,99.0,3840,3720,42,20,gpu0
2026-07-04 07:54:41,73.0,89.0,92.0,332.12,73.0,85.0,88.0,447.2,1965.0,99.0,3840,3720,42,21,gpu0
2026-07-04 07:54:50,73.0,89.0,92.0,332.12,74.0,86.0,90.0,445.3,1890.0,99.0,3840,3720,42,21,gpu0
2026-07-04 07:54:58,74.0,90.0,94.0,332.58,74.0,86.0,92.0,447.64,1950.0,99.0,3840,3720,43,21,gpu0
2026-07-04 07:55:09,75.0,90.0,96.0,331.85,74.0,87.0,92.0,446.24,1950.0,99.0,4200,3960,41,21,gpu0
2026-07-04 07:55:20,75.0,91.0,96.0,332.39,74.0,86.0,92.0,445.72,1965.0,99.0,4200,3960,41,21,gpu0
2026-07-04 07:55:32,76.0,92.0,96.0,332.93,74.0,87.0,92.0,446.19,1890.0,99.0,4440,4200,42,21,gpu0
2026-07-04 07:55:39,76.0,92.0,98.0,333.49,74.0,87.0,92.0,446.12,1920.0,99.0,4320,4200,41,21,gpu0
2026-07-04 07:55:47,77.0,92.0,98.0,333.2,74.0,87.0,92.0,447.06,1890.0,99.0,4320,4200,41,21,gpu0
2026-07-04 07:55:58,77.0,93.0,98.0,333.02,75.0,87.0,92.0,445.95,1890.0,99.0,4440,4200,42,21,gpu0
2026-07-04 07:56:06,78.0,93.0,98.0,333.65,75.0,87.0,92.0,447.63,1890.0,99.0,4440,4200,40,21,gpu0
2026-07-04 07:56:14,78.0,94.0,100.0,333.51,75.0,87.0,92.0,445.87,1965.0,99.0,4320,4200,40,21,gpu0
2026-07-04 07:56:24,79.0,95.0,100.0,334.4,75.0,87.0,92.0,445.26,1965.0,99.0,4560,4320,40,21,gpu0
2026-07-04 07:56:34,80.0,95.0,100.0,333.37,76.0,87.0,90.0,446.69,1980.0,97.0,4560,4320,40,21,gpu0
2026-07-04 07:56:42,80.0,95.0,100.0,334.04,75.0,87.0,92.0,446.08,1935.0,99.0,4680,4440,40,21,gpu0
2026-07-04 07:56:51,80.0,96.0,100.0,333.91,75.0,87.0,92.0,445.5,1905.0,97.0,4680,4440,40,21,gpu0
2026-07-04 07:56:59,80.0,96.0,100.0,334.05,75.0,87.0,92.0,446.13,1935.0,97.0,4680,4440,40,21,gpu0
2026-07-04 07:57:09,80.0,96.0,100.0,333.95,75.0,88.0,92.0,445.31,1905.0,97.0,4680,4440,41,21,gpu0
2026-07-04 07:57:18,80.0,96.0,100.0,334.68,75.0,86.0,92.0,446.18,1935.0,99.0,4680,4440,40,21,gpu0
2026-07-04 07:57:26,80.0,96.0,100.0,334.86,75.0,87.0,92.0,445.69,1965.0,97.0,4680,4440,40,21,gpu0
2026-07-04 07:57:36,81.0,96.0,100.0,334.42,75.0,87.0,92.0,447.36,1890.0,99.0,4680,4440,40,21,gpu0
2026-07-04 07:57:44,81.0,96.0,100.0,335.44,62.0,68.0,76.0,40.34,1260.0,99.0,4680,4440,41,21,gpu0
2026-07-04 07:57:52,65.0,75.0,88.0,22.9,58.0,65.0,70.0,22.68,210.0,0.0,4680,4440,42,21,gpu0
2026-07-04 07:57:59,61.0,70.0,84.0,20.98,70.0,81.0,84.0,445.44,1965.0,99.0,4320,4080,42,21,gpu1
2026-07-04 07:58:07,71.0,87.0,94.0,333.73,72.0,84.0,86.0,445.7,1920.0,99.0,3480,3360,42,21,gpu0
2026-07-04 07:58:15,72.0,89.0,96.0,332.16,73.0,85.0,88.0,447.35,1950.0,99.0,3840,3720,41,21,gpu0
2026-07-04 07:58:26,75.0,91.0,96.0,332.91,74.0,86.0,90.0,445.57,1980.0,99.0,3960,3960,41,21,gpu0
2026-07-04 07:58:38,77.0,92.0,98.0,332.41,75.0,86.0,92.0,446.1,1950.0,97.0,4200,3960,41,21,gpu0
2026-07-04 07:58:46,77.0,93.0,100.0,332.72,75.0,87.0,92.0,446.06,1920.0,99.0,4200,3960,41,21,gpu0
2026-07-04 07:58:53,78.0,94.0,100.0,333.85,75.0,87.0,92.0,447.03,1950.0,99.0,4560,4320,40,21,gpu0
